League,Season,Financial_Rank,Team,Market_Value_M_EUR
La Liga,2021-2022,6,Real Sociedad,376.95
La Liga,2021-2022,7,Valencia CF,310.6
La Liga,2021-2022,8,Real Betis Balompié,259
La Liga,2021-2022,9,Athletic Bilbao,226.05
La Liga,2021-2022,10,Getafe CF,208.68
La Liga,2021-2022,11,RCD Espanyol Barcelona,131.6
La Liga,2021-2022,12,Celta de Vigo,120
La Liga,2021-2022,13,CA Osasuna,108.45
La Liga,2021-2022,14,Granada CF,103.75
La Liga,2021-2022,15,Levante UD,77.9
La Liga,2021-2022,16,RCD Mallorca,74.15
La Liga,2021-2022,17,Elche CF,72.98
La Liga,2021-2022,18,Cádiz CF,67.8
La Liga,2021-2022,19,Rayo Vallecano,67.2
La Liga,2021-2022,20,Deportivo Alavés,65.35
La Liga,2022-2023,1,Real Madrid,923.45
La Liga,2022-2023,2,FC Barcelona,836.8
La Liga,2022-2023,3,Atlético de Madrid,534.3
La Liga,2022-2023,4,Real Sociedad,441.7
La Liga,2022-2023,5,Villarreal CF,363.5
La Liga,2022-2023,6,Valencia CF,249.78
La Liga,2022-2023,7,Real Betis Balompié,246.4
La Liga,2022-2023,8,Sevilla FC,232.58
La Liga,2022-2023,9,Athletic Bilbao,222.45
La Liga,2022-2023,10,CA Osasuna,150.05
La Liga,2022-2023,11,Girona FC,139.9
La Liga,2022-2023,12,Celta de Vigo,138.8
La Liga,2022-2023,13,Getafe CF,118.9
La Liga,2022-2023,14,RCD Espanyol Barcelona,116.5
La Liga,2022-2023,15,UD Almería,114.2
La Liga,2022-2023,16,RCD Mallorca,107
La Liga,2022-2023,17,Rayo Vallecano,103.4
La Liga,2022-2023,18,Real Valladolid CF,90.75
La Liga,2022-2023,19,Elche CF,67.5
La Liga,2022-2023,20,Cádiz CF,65.6
La Liga,2023-2024,1,Real Madrid,1140
La Liga,2023-2024,2,FC Barcelona,916.2
La Liga,2023-2024,3,Real Sociedad,498.5
La Liga,2023-2024,4,Atlético de Madrid,458.45
La Liga,2023-2024,5,Girona FC,297.9
La Liga,2023-2024,6,Athletic Bilbao,295.65
La Liga,2023-2024,7,Villarreal CF,252.5
La Liga,2023-2024,8,Valencia CF,244.73
La Liga,2023-2024,9,Sevilla FC,228.75
La Liga,2023-2024,10,Real Betis Balompié,224.88
