League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2016-2017,1,Bayern Munich,82,25,7,2,89,22
Bundesliga,2016-2017,2,RB Leipzig,67,20,7,7,66,39
Bundesliga,2016-2017,3,Borussia Dortmund,64,18,10,6,72,40
Bundesliga,2016-2017,4,TSG Hoffenheim,62,16,14,4,64,37
Bundesliga,2016-2017,5,FC Cologne,49,12,13,9,51,42
Bundesliga,2016-2017,6,Hertha Berlin,49,15,4,15,43,47
Bundesliga,2016-2017,7,SC Freiburg,48,14,6,14,42,60
Bundesliga,2016-2017,8,Werder Bremen,45,13,6,15,61,64
Bundesliga,2016-2017,9,Borussia Mönchengladbach,45,12,9,13,45,49
Bundesliga,2016-2017,10,Schalke 04,43,11,10,13,45,40
Bundesliga,2016-2017,11,Eintracht Frankfurt,42,11,9,14,36,43
Bundesliga,2016-2017,12,Bayer Leverkusen,41,11,8,15,53,55
Bundesliga,2016-2017,13,FC Augsburg,38,9,11,14,35,51
Bundesliga,2016-2017,14,Hamburg SV,38,10,8,16,33,61
Bundesliga,2016-2017,15,Mainz,37,10,7,17,44,55
Bundesliga,2016-2017,16,VfL Wolfsburg,37,10,7,17,34,52
Bundesliga,2016-2017,17,FC Ingolstadt 04,32,8,8,18,36,57
Bundesliga,2016-2017,18,SV Darmstadt 98,25,7,4,23,28,63
