League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2023-2024,1,Bayer Leverkusen,90,28,6,0,89,24
Bundesliga,2023-2024,2,VfB Stuttgart,73,23,4,7,78,39
Bundesliga,2023-2024,3,Bayern Munich,72,23,3,8,94,45
Bundesliga,2023-2024,4,RB Leipzig,65,19,8,7,77,39
Bundesliga,2023-2024,5,Borussia Dortmund,63,18,9,7,68,43
Bundesliga,2023-2024,6,Eintracht Frankfurt,47,11,14,9,51,50
Bundesliga,2023-2024,7,TSG Hoffenheim,46,13,7,14,66,66
Bundesliga,2023-2024,8,1. FC Heidenheim 1846,42,10,12,12,50,55
Bundesliga,2023-2024,9,Werder Bremen,42,11,9,14,48,54
Bundesliga,2023-2024,10,SC Freiburg,42,11,9,14,45,58
Bundesliga,2023-2024,11,FC Augsburg,39,10,9,15,50,60
Bundesliga,2023-2024,12,VfL Wolfsburg,37,10,7,17,41,56
Bundesliga,2023-2024,13,Mainz,35,7,14,13,39,51
Bundesliga,2023-2024,14,Borussia Mönchengladbach,34,7,13,14,56,67
Bundesliga,2023-2024,15,1. FC Union Berlin,33,9,6,19,33,58
Bundesliga,2023-2024,16,VfL Bochum,33,7,12,15,42,74
Bundesliga,2023-2024,17,FC Cologne,27,5,12,17,28,60
Bundesliga,2023-2024,18,SV Darmstadt 98,17,3,8,23,30,86
