League,Season,Financial_Rank,Team,Market_Value_M_EUR
Serie A,2020-2021,1,Inter Milan,663.9
Serie A,2020-2021,2,Juventus FC,633.3
Serie A,2020-2021,3,AC Milan,547.78
Serie A,2020-2021,4,SSC Napoli,530.2
Serie A,2020-2021,5,Atalanta BC,430
Serie A,2020-2021,6,AS Roma,395.65
Serie A,2020-2021,7,SS Lazio,326.33
Serie A,2020-2021,8,ACF Fiorentina,286.8
Serie A,2020-2021,9,US Sassuolo,241.74
Serie A,2020-2021,10,Cagliari Calcio,187.83
Serie A,2020-2021,11,Torino FC,175.28
Serie A,2020-2021,12,Udinese Calcio,173
Serie A,2020-2021,13,Hellas Verona,157.21
Serie A,2020-2021,14,Bologna FC 1909,153.6
Serie A,2020-2021,15,Parma Calcio 1913,128.7
Serie A,2020-2021,16,UC Sampdoria,127.18
Serie A,2020-2021,17,Genoa CFC,111.93
Serie A,2020-2021,18,Spezia Calcio,71.68
Serie A,2020-2021,19,FC Crotone,52.75
Serie A,2020-2021,20,Benevento Calcio,50.13
