League,Season,Financial_Rank,Team,Market_Value_M_EUR
Serie A,2024-2025,1,Inter Milan,741.85
Serie A,2024-2025,2,Juventus FC,628.73
Serie A,2024-2025,3,AC Milan,581.7
Serie A,2024-2025,4,Atalanta BC,501.2
Serie A,2024-2025,5,SSC Napoli,500.45
Serie A,2024-2025,6,AS Roma,390.3
Serie A,2024-2025,7,ACF Fiorentina,368.13
Serie A,2024-2025,8,Bologna FC 1909,340.65
Serie A,2024-2025,9,SS Lazio,294.9
Serie A,2024-2025,10,Torino FC,219.28
Serie A,2024-2025,11,Como 1907,203.43
Serie A,2024-2025,12,Udinese Calcio,198.9
Serie A,2024-2025,13,Genoa CFC,175.35
Serie A,2024-2025,14,Parma Calcio 1913,175.11
Serie A,2024-2025,15,US Lecce,113.43
Serie A,2024-2025,16,Hellas Verona,107.35
Serie A,2024-2025,17,FC Empoli,106.58
Serie A,2024-2025,18,AC Monza,95.83
Serie A,2024-2025,19,Venezia FC,95.6
Serie A,2024-2025,20,Cagliari Calcio,93.63
