League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
La Liga,2015-2016,1,10,Real Betis,real betis balompie,45,11,12,15,34,52,15,56.4,0.07768595041322314,-2.555080856320783,No
La Liga,2015-2016,1,11,Las Palmas,ud las palmas,44,12,8,18,45,53,20,32.2,0.04435261707988981,-3.1155835622744332,No
La Liga,2015-2016,1,12,Valencia,valencia,44,11,11,16,46,48,4,254,0.349862258953168,-1.0502157478062597,No
La Liga,2015-2016,1,13,Espanyol,rcd espanyol barcelona,43,12,7,19,40,74,12,62.2,0.08567493112947659,-2.4571950150796624,No
La Liga,2015-2016,1,14,Eibar,sd eibar,43,11,10,17,49,61,14,56.6,0.07796143250688706,-2.5515410296156587,No
La Liga,2015-2016,1,15,Deportivo La Coruña,deportivo de la coruna,42,8,18,12,45,61,13,61.75,0.08505509641873278,-2.4644560393167096,No
La Liga,2015-2016,1,16,Granada,granada,39,10,9,19,46,69,11,71.5,0.09848484848484848,-2.3178525651248343,No
La Liga,2015-2016,1,17,Sporting Gijón,sporting gijon,39,10,9,19,40,62,16,53.2,0.07327823691460056,-2.6134916184771972,No
La Liga,2015-2016,1,18,Rayo Vallecano,rayo vallecano,38,9,11,18,52,73,18,49.6,0.06831955922865014,-2.6835591810939143,No
La Liga,2015-2016,1,19,Getafe,getafe,36,9,9,20,37,67,19,49.1,0.06763085399449036,-2.6936909800243214,No
La Liga,2015-2016,1,20,Levante,levante ud,32,8,8,22,37,70,17,53.1,0.07314049586776859,-2.615373086576903,No
La Liga,2016-2017,2,1,Real Madrid,real madrid,93,29,6,3,106,41,1,802.9,1,0,Yes
La Liga,2016-2017,2,2,Barcelona,barcelona,90,28,6,4,116,37,2,765.3,0.9531697596213724,-0.04796225937476292,No
La Liga,2016-2017,2,3,Atlético Madrid,atletico de madrid,78,23,9,6,70,27,3,515.8,0.6424212230663843,-0.4425110797433941,No
La Liga,2016-2017,2,4,Sevilla,sevilla,72,21,9,8,69,49,4,270.1,0.3364055299539171,-1.0894379123920683,No
La Liga,2016-2017,2,5,Villarreal,villarreal,67,19,10,9,56,33,6,190.7,0.2375140117075601,-1.437528660584265,No
La Liga,2016-2017,2,6,Real Sociedad,real sociedad,64,19,7,12,59,53,8,156.45,0.1948561464690497,-1.6354937030757473,No
La Liga,2016-2017,2,7,Athletic Club,athletic bilbao,63,19,6,13,53,43,7,172.6,0.21497073109976336,-1.5372533945413107,No
La Liga,2016-2017,2,8,Espanyol,rcd espanyol barcelona,56,15,11,12,49,50,15,80.8,0.10063519740939096,-2.2962532076635886,No
La Liga,2016-2017,2,9,Alavés,deportivo alaves,55,14,13,11,41,43,11,85.4,0.10636442894507411,-2.240884072396114,No
La Liga,2016-2017,2,10,Eibar,sd eibar,54,15,9,14,56,51,16,67.95,0.08463071366297173,-2.4694580325934856,No
La Liga,2016-2017,2,11,Málaga,malaga,46,12,10,16,49,55,12,84.3,0.10499439531697596,-2.2538483081828287,No
La Liga,2016-2017,2,12,Valencia,valencia,46,13,7,18,56,65,5,257.5,0.32071241748661106,-1.1372104530868474,No
La Liga,2016-2017,2,13,Celta Vigo,celta de vigo,45,13,6,19,53,69,9,122.4,0.15244737825382987,-1.8809358031124128,No
La Liga,2016-2017,2,14,Las Palmas,ud las palmas,39,10,9,19,53,74,12,84.3,0.10499439531697596,-2.2538483081828287,No
La Liga,2016-2017,2,15,Real Betis,real betis balompie,39,10,9,19,41,64,14,84.2,0.10486984680533068,-2.255035251942357,No
La Liga,2016-2017,2,16,Deportivo La Coruña,deportivo de la coruna,36,8,12,18,43,61,10,94,0.11707560094656869,-2.1449353909206343,No
La Liga,2016-2017,2,17,Leganés,cd leganes,35,8,11,19,36,55,18,53.15,0.06619753393946942,-2.7151120684026813,No
La Liga,2016-2017,2,18,Sporting Gijón,sporting gijon,31,7,10,21,42,72,19,46.75,0.05822642919417113,-2.843415917455942,No
La Liga,2016-2017,2,19,Osasuna,ca osasuna,22,4,10,24,40,94,20,42.9,0.05343131149582762,-2.929358347256667,No
La Liga,2016-2017,2,20,Granada,granada,20,4,8,26,30,82,17,66.45,0.08276248598829244,-2.491780388031384,No
La Liga,2017-2018,3,1,Barcelona,barcelona,93,28,9,1,99,29,1,1090,1,0,Yes
La Liga,2017-2018,3,2,Atlético Madrid,atletico de madrid,79,23,10,5,58,22,3,711.15,0.6524311926605504,-0.42704959720695246,No
La Liga,2017-2018,3,3,Real Madrid,real madrid,76,22,10,6,94,44,2,955.35,0.8764678899082569,-0.13185520973770493,No
La Liga,2017-2018,3,4,Valencia,valencia,73,22,7,9,65,38,4,398.05,0.36518348623853214,-1.007355349688602,No
La Liga,2017-2018,3,5,Villarreal,villarreal,61,18,7,13,57,50,8,220,0.2018348623853211,-1.6003054288708278,No
La Liga,2017-2018,3,6,Real Betis,real betis balompie,60,18,6,14,60,61,10,132.25,0.1213302752293578,-2.109238904484781,No
La Liga,2017-2018,3,7,Sevilla,sevilla,58,17,7,14,49,58,5,253.2,0.23229357798165137,-1.4597532849531685,No
La Liga,2017-2018,3,8,Getafe,getafe,55,15,10,13,42,33,16,65.6,0.0601834862385321,-2.810357279273146,No
La Liga,2017-2018,3,9,Eibar,sd eibar,51,14,9,15,44,50,18,60.05,0.05509174311926605,-2.8987554266971967,No
La Liga,2017-2018,3,10,Girona,girona,51,14,9,15,50,59,13,81.75,0.075,-2.5902671654458267,No
La Liga,2017-2018,3,11,Espanyol,rcd espanyol barcelona,49,12,13,13,36,42,11,97.8,0.08972477064220183,-2.411008398182418,No
La Liga,2017-2018,3,12,Real Sociedad,real sociedad,49,14,7,17,66,59,7,232.95,0.21371559633027523,-1.5431091369603835,No
La Liga,2017-2018,3,13,Celta Vigo,celta de vigo,49,13,10,15,59,60,9,173.05,0.15876146788990828,-1.840352405141836,No
La Liga,2017-2018,3,14,Alavés,deportivo alaves,47,15,2,21,40,50,14,74.8,0.06862385321100917,-2.679115090242758,No
La Liga,2017-2018,3,15,Levante,levante ud,46,11,13,14,44,58,17,61.85,0.05674311926605505,-2.8692208763846923,No
La Liga,2017-2018,3,16,Athletic Club,athletic bilbao,43,10,13,15,41,49,6,249.4,0.2288073394495413,-1.474874941977253,No
La Liga,2017-2018,3,17,Leganés,cd leganes,43,12,7,19,34,51,19,58.55,0.05371559633027523,-2.924051885179463,No
La Liga,2017-2018,3,18,Deportivo La Coruña,deportivo de la coruna,29,6,11,21,38,76,15,66.45,0.06096330275229358,-2.797483190063935,No
La Liga,2017-2018,3,19,Las Palmas,ud las palmas,22,5,7,26,24,74,12,91.25,0.08371559633027523,-2.4803299827605887,No
La Liga,2017-2018,3,20,Málaga,malaga,20,5,5,28,24,61,20,55.2,0.05064220183486238,-2.98297002194014,No
La Liga,2018-2019,4,1,Barcelona,barcelona,87,26,9,3,90,36,1,1160,1,0,Yes
La Liga,2018-2019,4,2,Atlético Madrid,atletico de madrid,76,22,10,6,55,29,2,969.7,0.835948275862069,-0.17918853878990973,No
La Liga,2018-2019,4,3,Real Madrid,real madrid,68,21,5,12,63,46,3,896.1,0.7725,-0.25812327021023657,No
La Liga,2018-2019,4,4,Valencia,valencia,61,15,16,7,51,35,4,499.65,0.43073275862068966,-0.842267430792612,No
La Liga,2018-2019,4,5,Getafe,getafe,59,15,14,9,48,35,12,132.2,0.1139655172413793,-2.1718593566828246,No
La Liga,2018-2019,4,6,Sevilla,sevilla,59,17,8,13,62,47,5,306.3,0.26405172413793104,-1.3316102702616808,No
La Liga,2018-2019,4,7,Espanyol,rcd espanyol barcelona,53,14,11,13,48,50,11,174.7,0.15060344827586206,-1.8931050669603997,No
La Liga,2018-2019,4,8,Athletic Club,athletic bilbao,53,13,14,11,41,45,8,234.25,0.2019396551724138,-1.5997863629818787,No
La Liga,2018-2019,4,9,Real Sociedad,real sociedad,50,13,11,14,45,46,6,300.95,0.2594396551724138,-1.3492311461066304,No
La Liga,2018-2019,4,10,Real Betis,real betis balompie,50,14,8,16,44,52,7,290.75,0.2506465517241379,-1.3837114927016363,No
La Liga,2018-2019,4,11,Alavés,deportivo alaves,50,13,11,14,39,50,14,110.8,0.09551724137931034,-2.348448509787227,No
La Liga,2018-2019,4,12,Eibar,sd eibar,47,11,14,13,46,50,17,93.9,0.08094827586206897,-2.513944897886193,No
La Liga,2018-2019,4,13,Leganés,cd leganes,45,11,12,15,37,43,13,112.45,0.0969396551724138,-2.3336666056950857,No
La Liga,2018-2019,4,14,Villarreal,villarreal,44,10,14,14,49,52,10,230.65,0.19883620689655176,-1.6152738740965806,No
La Liga,2018-2019,4,15,Levante,levante ud,44,11,11,16,59,66,15,107.85,0.09297413793103448,-2.3754339112652447,No
La Liga,2018-2019,4,16,Real Valladolid,real valladolid,41,10,11,17,32,51,19,83,0.07155172413793104,-2.637334676303812,No
La Liga,2018-2019,4,17,Celta Vigo,celta de vigo,41,10,11,17,53,62,9,234.1,0.2018103448275862,-1.6004269096035453,No
La Liga,2018-2019,4,18,Girona,girona,37,9,10,19,37,53,16,97.25,0.08383620689655172,-2.478890301601855,No
La Liga,2018-2019,4,19,Huesca,sd huesca,33,7,12,19,43,65,20,61.4,0.05293103448275862,-2.9387654489473136,No
La Liga,2018-2019,4,20,Rayo Vallecano,rayo vallecano,32,8,8,22,41,70,18,86.7,0.07474137931034483,-2.593721400313914,No
La Liga,2019-2020,5,1,Real Madrid,real madrid,87,26,9,3,70,25,2,913.75,0.9822311562110332,-0.01792860503806682,Yes
La Liga,2019-2020,5,2,Barcelona,barcelona,82,25,7,6,86,38,1,930.28,1,0,No
La Liga,2019-2020,5,3,Atlético Madrid,atletico de madrid,70,18,16,4,51,27,3,720.15,0.7741217697897407,-0.25602609245699615,No
La Liga,2019-2020,5,4,Sevilla,sevilla,70,19,13,6,54,34,6,294.75,0.3168400911553511,-1.1493580766845748,No
La Liga,2019-2020,5,5,Villarreal,villarreal,60,18,6,14,63,49,9,208.68,0.2243195597024552,-1.4946836379478632,No
La Liga,2019-2020,5,6,Real Sociedad,real sociedad,56,16,8,14,56,48,5,347.55,0.3735971965429763,-0.98457707655556,No
La Liga,2019-2020,5,7,Granada,granada,56,16,8,14,52,45,19,56.58,0.06082039815969385,-2.799830050228634,No
La Liga,2019-2020,5,8,Getafe,getafe,54,14,12,12,43,37,10,175.45,0.18859913144429633,-1.668131514072831,No
La Liga,2019-2020,5,9,Valencia,valencia,53,14,11,13,46,53,4,427.8,0.4598615470610999,-0.7768298194537498,No
La Liga,2019-2020,5,10,Osasuna,ca osasuna,52,13,13,12,46,54,18,62.78,0.06748505826202864,-2.6958490646882476,No
La Liga,2019-2020,5,11,Athletic Club,athletic bilbao,51,13,12,13,41,38,8,211.75,0.2276196413982887,-1.4800792825698914,No
La Liga,2019-2020,5,12,Levante,levante ud,49,14,7,17,47,53,15,90.5,0.09728253859053188,-2.3301357653961747,No
La Liga,2019-2020,5,13,Real Valladolid,real valladolid,42,9,15,14,32,43,16,87.78,0.09435868770692694,-2.3606519318419674,No
La Liga,2019-2020,5,14,Eibar,sd eibar,42,11,9,18,39,56,20,53.75,0.05777830330653136,-2.851141949094283,No
La Liga,2019-2020,5,15,Real Betis,real betis balompie,41,10,11,17,48,60,7,244.35,0.2626628541944361,-1.3368839923858913,No
La Liga,2019-2020,5,16,Alavés,deportivo alaves,39,10,9,19,34,59,14,106.75,0.1147503977297158,-2.164995963993321,No
La Liga,2019-2020,5,17,Celta Vigo,celta de vigo,37,7,16,15,37,49,11,167,0.17951584469192072,-1.7174918036853,No
La Liga,2019-2020,5,18,Leganés,cd leganes,36,8,12,18,30,51,13,109.7,0.1179214860042138,-2.1377362488208704,No
La Liga,2019-2020,5,19,Mallorca,rcd mallorca,33,9,6,23,40,65,17,64.68,0.06952745409984092,-2.666033581393149,No
La Liga,2019-2020,5,20,Espanyol,rcd espanyol barcelona,25,5,10,23,27,58,12,156.05,0.16774519499505527,-1.7853091473852665,No
La Liga,2020-2021,6,1,Atlético Madrid,atletico de madrid,86,26,8,4,67,25,3,773.1,0.9503380454824832,-0.05093752033266338,Yes
La Liga,2020-2021,6,2,Real Madrid,real madrid,84,25,9,4,67,28,2,787.3,0.9677934849416102,-0.03273655646867109,No
La Liga,2020-2021,6,3,Barcelona,barcelona,79,24,7,7,85,38,1,813.5,1,0,No
La Liga,2020-2021,6,4,Sevilla,sevilla,77,24,5,9,53,33,4,418.25,0.5141364474492932,-0.6652665867921591,No
La Liga,2020-2021,6,5,Real Sociedad,real sociedad,62,17,11,10,59,38,5,406.6,0.49981561155500925,-0.6935160254648461,No
La Liga,2020-2021,6,6,Real Betis,real betis balompie,61,17,10,11,50,50,8,207.7,0.25531653349723415,-1.365251195777026,No
La Liga,2020-2021,6,7,Villarreal,villarreal,58,15,13,10,60,44,6,292.6,0.359680393362016,-1.0225394380730684,No
La Liga,2020-2021,6,8,Celta Vigo,celta de vigo,53,14,11,13,55,57,11,155.85,0.19157959434542104,-1.6524519204457464,No
La Liga,2020-2021,6,9,Granada,granada,46,13,7,18,47,65,12,122.65,0.1507682851874616,-1.892011155954594,No
La Liga,2020-2021,6,10,Athletic Club,athletic bilbao,46,11,13,14,46,42,9,204.15,0.2509526736324524,-1.3824909088935076,No
La Liga,2020-2021,6,11,Osasuna,ca osasuna,44,11,11,16,37,48,14,96.75,0.11893054701905348,-2.1292155947492013,No
La Liga,2020-2021,6,12,Cádiz,cadiz,44,11,11,16,36,58,19,47.65,0.05857406269207129,-2.8374632965588815,No
La Liga,2020-2021,6,13,Valencia,valencia,43,10,13,15,50,53,7,278.85,0.3427781192378611,-1.0706719238235298,No
La Liga,2020-2021,6,14,Levante,levante ud,41,9,14,15,46,57,13,113,0.1389059618930547,-1.973958107946752,No
La Liga,2020-2021,6,15,Getafe,getafe,38,9,11,18,28,43,10,170.1,0.20909649661954516,-1.5649594272572764,No
La Liga,2020-2021,6,16,Alavés,deportivo alaves,38,9,11,18,36,57,16,79.8,0.09809465273509528,-2.3218224222033292,No
La Liga,2020-2021,6,17,Elche,elche,36,8,12,18,34,55,20,45.65,0.05611555009219422,-2.8803423196181153,No
La Liga,2020-2021,6,18,Huesca,sd huesca,34,7,13,18,34,53,17,64.1,0.07879532882606023,-2.540901562732468,No
La Liga,2020-2021,6,19,Real Valladolid,real valladolid,31,5,16,17,34,57,18,63.35,0.07787338660110633,-2.552671019891944,No
La Liga,2020-2021,6,20,Eibar,sd eibar,30,6,12,20,29,52,15,83.4,0.102519975414874,-2.2776976172943915,No
La Liga,2021-2022,7,1,Real Madrid,real madrid,86,26,8,4,80,31,1,770.75,1,0,Yes
La Liga,2021-2022,7,2,Barcelona,barcelona,73,21,10,7,68,38,2,735.6,0.954395069737269,-0.04667757403609365,No
La Liga,2021-2022,7,3,Atlético Madrid,atletico de madrid,71,21,8,9,65,43,3,661.8,0.8586441777489457,-0.15240067127874804,No
La Liga,2021-2022,7,4,Sevilla,sevilla,70,18,16,4,53,30,5,385,0.4995134609146935,-0.6941207324784755,No
La Liga,2021-2022,7,5,Real Betis,real betis balompie,65,19,8,11,62,40,8,259,0.3360363282517029,-1.090536005066722,No
La Liga,2021-2022,7,6,Real Sociedad,real sociedad,62,17,11,10,40,37,6,376.95,0.4890690885501135,-0.7152515141085489,No
La Liga,2021-2022,7,7,Villarreal,villarreal,59,16,11,11,63,37,4,408.9,0.530522218618229,-0.6338934393956631,No
La Liga,2021-2022,7,8,Athletic Club,athletic bilbao,55,14,13,11,43,36,9,226.05,0.29328576062277006,-1.2266078530256457,No
La Liga,2021-2022,7,9,Valencia,valencia,48,11,15,12,48,53,7,310.6,0.40298410638988,-0.908858156051673,No
La Liga,2021-2022,7,10,Osasuna,ca osasuna,47,12,11,15,37,51,13,108.45,0.14070710347064547,-1.9610748294933764,No
La Liga,2021-2022,7,11,Celta Vigo,celta de vigo,46,12,10,16,43,43,12,120,0.15569250729808629,-1.8598723239842136,No
La Liga,2021-2022,7,12,Rayo Vallecano,rayo vallecano,42,11,9,18,39,50,19,67.2,0.08718780408692832,-2.439690819237156,No
La Liga,2021-2022,7,13,Elche,elche,42,11,9,18,40,52,17,72.98,0.0946869931884528,-2.357178635757958,No
La Liga,2021-2022,7,14,Espanyol,rcd espanyol barcelona,42,10,12,16,40,53,11,131.6,0.17074278300356793,-1.7675970478750431,No
La Liga,2021-2022,7,15,Getafe,getafe,39,8,15,15,33,41,10,208.68,0.27074927019137207,-1.3065620886120677,No
La Liga,2021-2022,7,16,Mallorca,rcd mallorca,39,10,9,19,36,63,16,74.15,0.09620499513460916,-2.3412739981823183,No
La Liga,2021-2022,7,17,Cádiz,cadiz,39,8,15,15,35,51,18,67.8,0.08796626662341875,-2.43080187181991,No
La Liga,2021-2022,7,18,Granada,granada,38,8,14,16,44,61,14,103.75,0.13460914693480378,-2.005379907655452,No
La Liga,2021-2022,7,19,Levante,levante ud,35,8,11,19,51,76,15,77.9,0.10107038598767434,-2.291938113889558,No
La Liga,2021-2022,7,20,Alavés,deportivo alaves,31,8,7,23,31,65,20,65.35,0.08478754459941615,-2.467606626696029,No
La Liga,2022-2023,8,1,Barcelona,barcelona,88,28,4,6,70,20,2,836.8,0.9061670908008012,-0.098531563011262,Yes
La Liga,2022-2023,8,2,Real Madrid,real madrid,78,24,6,8,75,36,1,923.45,1,0,No
La Liga,2022-2023,8,3,Atlético Madrid,atletico de madrid,77,23,8,7,70,33,3,534.3,0.5785911527424332,-0.5471591773581947,No
La Liga,2022-2023,8,4,Real Sociedad,real sociedad,71,21,8,9,51,35,4,441.7,0.4783150143483675,-0.7374857377194397,No
La Liga,2022-2023,8,5,Villarreal,villarreal,64,19,7,12,59,40,5,363.5,0.3936325735015431,-0.9323373593483464,No
La Liga,2022-2023,8,6,Real Betis,real betis balompie,60,17,9,12,46,41,7,246.4,0.2668254913639071,-1.3211604246625557,No
La Liga,2022-2023,8,7,Osasuna,ca osasuna,53,15,8,15,37,42,10,150.05,0.1624884942335806,-1.817148084435544,No
La Liga,2022-2023,8,8,Athletic Club,athletic bilbao,51,14,9,15,47,43,9,222.45,0.2408901402349883,-1.4234142990698695,No
La Liga,2022-2023,8,9,Mallorca,rcd mallorca,50,14,8,16,37,43,16,107,0.11586983594130704,-2.155287821860014,No
La Liga,2022-2023,8,10,Girona,girona,49,13,10,15,58,55,11,139.9,0.15149710325410146,-1.887188774650485,No
La Liga,2022-2023,8,11,Rayo Vallecano,rayo vallecano,49,13,10,15,45,53,17,103.4,0.11197141155449672,-2.189511694247592,No
La Liga,2022-2023,8,12,Sevilla,sevilla,49,13,10,15,47,54,8,232.58,0.2518598733012074,-1.3788824044570234,No
La Liga,2022-2023,8,13,Celta Vigo,celta de vigo,43,11,10,17,43,53,12,138.8,0.1503059180247983,-1.8950826082492165,No
La Liga,2022-2023,8,14,Cádiz,cadiz,42,10,12,16,30,53,20,65.6,0.07103795549298825,-2.6445409603718772,No
La Liga,2022-2023,8,15,Getafe,getafe,42,10,12,16,34,45,13,118.9,0.12875629433104122,-2.049833852625184,No
La Liga,2022-2023,8,16,Valencia,valencia,42,11,9,18,42,45,6,249.78,0.2704856787048568,-1.307536125886981,No
La Liga,2022-2023,8,17,Almería,ud almera,41,11,8,19,49,65,15,114.2,0.12366668471492771,-2.0901653591000104,No
La Liga,2022-2023,8,18,Real Valladolid,real valladolid,40,11,7,20,33,63,18,90.75,0.09827278141751042,-2.3200081831769603,No
La Liga,2022-2023,8,19,Espanyol,rcd espanyol barcelona,37,8,13,17,52,69,14,116.5,0.1261573447398343,-2.0702253833161652,No
La Liga,2022-2023,8,20,Elche,elche,25,5,10,23,30,67,19,67.5,0.0730954572526937,-2.615989058443436,No
La Liga,2023-2024,9,1,Real Madrid,real madrid,95,29,8,1,87,26,1,1140,1,0,Yes
La Liga,2023-2024,9,2,Barcelona,barcelona,85,26,7,5,79,44,2,916.2,0.8036842105263158,-0.2185488599358994,No
La Liga,2023-2024,9,3,Girona,girona,81,25,6,7,85,46,5,297.9,0.26131578947368417,-1.3420256816693048,No
La Liga,2023-2024,9,4,Atlético Madrid,atletico de madrid,76,24,4,10,70,43,4,458.45,0.40214912280701753,-0.9109323068926314,No
La Liga,2023-2024,9,5,Athletic Club,athletic bilbao,68,19,11,8,61,37,6,295.65,0.2593421052631579,-1.3496072191217023,No
La Liga,2023-2024,9,6,Real Sociedad,real sociedad,60,16,12,10,51,39,3,498.5,0.437280701754386,-0.8271799519866481,No
La Liga,2023-2024,9,7,Real Betis,real betis balompie,57,14,15,9,48,45,10,224.88,0.19726315789473683,-1.6232166147902647,No
La Liga,2023-2024,9,8,Villarreal,villarreal,53,14,11,13,65,65,7,252.5,0.22149122807017543,-1.5073722926731266,No
La Liga,2023-2024,9,9,Valencia,valencia,49,13,10,15,40,45,8,244.73,0.2146754385964912,-1.5386279793536308,No
La Liga,2023-2024,9,10,Alavés,deportivo alaves,46,12,10,16,36,46,14,123.7,0.10850877192982455,-2.220924261990099,No
La Liga,2023-2024,9,11,Osasuna,ca osasuna,45,12,9,17,45,56,16,105.35,0.09241228070175438,-2.381495401138343,No
La Liga,2023-2024,9,12,Getafe,getafe,43,10,13,15,42,54,13,133,0.11666666666666668,-2.1484344131667874,No
La Liga,2023-2024,9,13,Celta Vigo,celta de vigo,41,10,11,17,46,57,11,149.3,0.13096491228070176,-2.032825836843396,No
La Liga,2023-2024,9,14,Sevilla,sevilla,41,10,11,17,48,54,9,228.75,0.20065789473684212,-1.6061538372329105,No
La Liga,2023-2024,9,15,Mallorca,rcd mallorca,40,8,16,14,33,44,18,87.7,0.07692982456140351,-2.5648616420104036,No
La Liga,2023-2024,9,16,Las Palmas,ud las palmas,40,10,10,18,33,47,15,112.4,0.09859649122807018,-2.3167196039289504,No
La Liga,2023-2024,9,17,Rayo Vallecano,rayo vallecano,38,8,14,16,29,48,19,63.95,0.05609649122807018,-2.8806820133636895,No
La Liga,2023-2024,9,18,Cádiz,cadiz,33,6,15,17,26,55,20,60.7,0.05324561403508772,-2.9328398433230887,No
La Liga,2023-2024,9,19,Almería,ud almera,21,3,12,23,43,75,17,99.4,0.08719298245614035,-2.4396314277260127,No
La Liga,2023-2024,9,20,Granada,granada,21,4,9,25,38,79,12,141.1,0.1237719298245614,-2.089314682529773,No
La Liga,2024-2025,10,1,Barcelona,barcelona,88,28,4,6,102,39,2,1080,0.8,-0.2231435513142097,Yes
La Liga,2024-2025,10,2,Real Madrid,real madrid,84,26,6,6,78,38,1,1350,1,0,No
La Liga,2024-2025,10,3,Atlético Madrid,atletico de madrid,76,22,10,6,68,30,3,542.5,0.40185185185185185,-0.9116717860178604,No
La Liga,2024-2025,10,4,Athletic Club,athletic bilbao,70,19,13,6,54,29,4,375.35,0.278037037037037,-1.2800009474134637,No
La Liga,2024-2025,10,5,Villarreal,villarreal,70,20,10,8,71,51,7,264.25,0.19574074074074072,-1.630964246682128,No
La Liga,2024-2025,10,6,Real Betis,real betis balompie,60,16,12,10,57,50,6,291.7,0.21607407407407409,-1.5321339945587995,No
La Liga,2024-2025,10,7,Celta Vigo,celta de vigo,55,16,7,15,59,57,11,130.9,0.09696296296296296,-2.3334261985166207,No
La Liga,2024-2025,10,8,Rayo Vallecano,rayo vallecano,52,13,13,12,41,45,19,68,0.05037037037037037,-2.988352166256369,No
La Liga,2024-2025,10,9,Osasuna,ca osasuna,52,12,16,10,48,52,14,113.28,0.08391111111111112,-2.4779972414870652,No
La Liga,2024-2025,10,10,Mallorca,rcd mallorca,48,13,9,16,35,44,17,84.88,0.06287407407407407,-2.7666213771267474,No
La Liga,2024-2025,10,11,Real Sociedad,real sociedad,46,13,7,18,35,46,5,345.05,0.2555925925925926,-1.3641705373658644,No
La Liga,2024-2025,10,12,Valencia,valencia,46,11,13,14,44,54,8,215.55,0.15966666666666668,-1.8346669702393317,No
La Liga,2024-2025,10,13,Getafe,getafe,42,11,9,18,34,39,16,87.7,0.06496296296296296,-2.733937972054338,No
La Liga,2024-2025,10,14,Espanyol,rcd espanyol barcelona,42,11,9,18,40,51,13,116.98,0.08665185185185185,-2.4458568914175953,No
La Liga,2024-2025,10,15,Alavés,deportivo alaves,42,10,12,16,38,48,15,92.35,0.0684074074074074,-2.682274164787226,No
La Liga,2024-2025,10,16,Girona,girona,41,11,8,19,44,60,10,153.1,0.1134074074074074,-2.176768568768837,No
La Liga,2024-2025,10,17,Sevilla,sevilla,41,10,11,17,42,55,9,183.9,0.13622222222222222,-1.9934677398222,No
La Liga,2024-2025,10,18,Leganés,cd leganes,40,9,13,16,39,56,20,47.98,0.03554074074074074,-3.3370756140209266,No
La Liga,2024-2025,10,19,Las Palmas,ud las palmas,32,8,8,22,40,61,12,117.3,0.08688888888888889,-2.443125115773045,No
La Liga,2024-2025,10,20,Real Valladolid,real valladolid,16,4,4,30,26,90,18,81.45,0.06033333333333333,-2.8078705363844207,No
Ligue 1,2015-2016,1,1,Paris Saint-Germain,paris saint-germain,96,30,6,2,102,19,1,436.3,1,0,Yes
Ligue 1,2015-2016,1,2,Lyon,olympique lyon,65,19,8,11,67,43,3,166.3,0.381159752463901,-0.964536693930682,No
Ligue 1,2015-2016,1,3,AS Monaco,as monaco,65,17,14,7,57,50,2,227.4,0.5212010084804034,-0.6516194988131282,No
Ligue 1,2015-2016,1,4,Nice,ogc nice,63,18,9,11,58,41,8,70.95,0.16261746504698602,-1.8163546765235123,No
Ligue 1,2015-2016,1,5,Lille,losc lille,60,15,15,8,39,27,9,70.8,0.16227366490946596,-1.81847107942989,No
Ligue 1,2015-2016,1,6,Saint-Étienne,as saint-etienne,58,17,7,14,42,37,5,97.2,0.22278248911299564,-1.5015593686631703,No
Ligue 1,2015-2016,1,7,Caen,sm caen,54,16,6,16,39,52,15,36.8,0.08434563373825349,-2.4728322349546787,No
Ligue 1,2015-2016,1,8,Stade Rennais,stade rennais,52,13,13,12,52,54,6,94.15,0.21579188631675453,-1.5334408250264024,No
Ligue 1,2015-2016,1,9,Angers,angers sco,50,13,11,14,40,38,17,32.35,0.07414622965849187,-2.6017160591826545,No
Ligue 1,2015-2016,1,10,Bastia,bastia,50,14,8,16,36,42,19,24.25,0.05558102223240889,-2.8899134627460716,No
Ligue 1,2015-2016,1,11,Bordeaux,girondins bordeaux,50,12,14,12,50,57,7,90.7,0.2078844831537933,-1.570772723008473,No
Ligue 1,2015-2016,1,12,Montpellier,montpellier hsc,49,14,7,17,49,47,11,44.4,0.10176484070593628,-2.285090610691385,No
Ligue 1,2015-2016,1,13,Marseille,olympique marseille,48,10,18,10,48,42,4,129.5,0.2968141187256475,-1.2146491989899717,No
Ligue 1,2015-2016,1,14,Nantes,nantes,48,12,12,14,33,44,14,39.3,0.0900756360302544,-2.4071055612543484,No
Ligue 1,2015-2016,1,15,Lorient,lorient,46,11,13,14,47,58,10,58.05,0.13305065322026127,-2.0170253719856635,No
Ligue 1,2015-2016,1,16,Guingamp,ea guingamp,44,11,11,16,47,56,16,33.5,0.07678203071281228,-2.5667846412985433,No
Ligue 1,2015-2016,1,17,Toulouse,toulouse,40,9,13,16,45,55,13,42.9,0.09832683933073572,-2.3194582541955926,No
Ligue 1,2015-2016,1,18,Stade de Reims,stade reims,39,10,9,19,44,57,12,42.95,0.09844143937657576,-2.3182934316992996,No
Ligue 1,2015-2016,1,19,GFC Ajaccio,gfc ajaccio,37,8,13,17,37,58,20,18.4,0.04217281686912674,-3.165979415514624,No
Ligue 1,2015-2016,1,20,Troyes,estac troyes,18,3,9,26,28,83,18,30.7,0.07036442814577125,-2.6540674255364127,No
Ligue 1,2016-2017,2,1,AS Monaco,as monaco,95,30,5,3,107,31,2,309.55,0.5964354527938344,-0.5167842532006474,Yes
