League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
Bundesliga,2017-2018,3,8,Eintracht Frankfurt,eintracht frankfurt,49,14,7,13,45,45,11,126.15,0.15538584713924986,-1.8618439189460567,No
Bundesliga,2017-2018,3,9,Borussia Mönchengladbach,borussia monchengladbach,47,13,8,13,47,52,7,193.25,0.23803658311264397,-1.435330906565592,No
Bundesliga,2017-2018,3,10,Hertha Berlin,hertha bsc,43,10,13,11,43,46,10,131.45,0.16191414670197696,-1.820689042857233,No
Bundesliga,2017-2018,3,11,Werder Bremen,werder bremen,42,10,12,12,37,40,12,107.15,0.13198250908419043,-2.025085872113537,No
Bundesliga,2017-2018,3,12,FC Augsburg,augsburg,41,10,11,13,43,46,14,100.45,0.1237297530331958,-2.08965550277218,No
Bundesliga,2017-2018,3,13,Hannover 96,hannover 96,39,10,9,15,44,54,16,92.95,0.11449159327461968,-2.16725387986567,No
Bundesliga,2017-2018,3,14,Mainz,1fsv mainz 05,36,9,9,16,38,52,15,98.35,0.12114306830079448,-2.1107830491980555,No
Bundesliga,2017-2018,3,15,SC Freiburg,freiburg,36,8,12,14,32,56,13,100.6,0.1239145162283673,-2.0881633363674847,No
Bundesliga,2017-2018,3,16,VfL Wolfsburg,vfl wolfsburg,33,6,15,13,36,48,8,143.6,0.17687996551087024,-1.7322839374189996,No
Bundesliga,2017-2018,3,17,Hamburg SV,hamburger,31,8,7,19,29,53,18,62.4,0.07686148919135308,-2.5657503186577415,No
Bundesliga,2017-2018,3,18,FC Cologne,1fc koln,22,5,7,22,35,70,17,91.73,0.11298885262055798,-2.1804661145115594,No
Bundesliga,2018-2019,4,1,Bayern Munich,bayern munich,78,24,6,4,88,32,1,784.88,1,0,Yes
Bundesliga,2018-2019,4,2,Borussia Dortmund,borussia dortmund,76,23,7,4,81,44,2,643.25,0.8195520334318622,-0.1989973886932818,No
Bundesliga,2018-2019,4,3,RB Leipzig,rb leipzig,66,19,9,6,63,29,3,479,0.61028437468148,-0.4938302424442201,No
Bundesliga,2018-2019,4,4,Bayer Leverkusen,bayer 04 leverkusen,58,18,4,12,69,52,4,429.4,0.5470900010192641,-0.6031419544104547,No
Bundesliga,2018-2019,4,5,Borussia Mönchengladbach,borussia monchengladbach,55,16,7,11,55,42,7,264.3,0.33673937417184796,-1.0884460182448918,No
Bundesliga,2018-2019,4,6,VfL Wolfsburg,vfl wolfsburg,55,16,7,11,62,50,8,229.25,0.2920828661706248,-1.230717728718561,No
Bundesliga,2018-2019,4,7,Eintracht Frankfurt,eintracht frankfurt,54,15,9,10,60,48,6,313.4,0.399296707776985,-0.9180505099332148,No
Bundesliga,2018-2019,4,8,Werder Bremen,werder bremen,53,14,11,9,58,49,11,168.05,0.21410916318418105,-1.5412692856840209,No
Bundesliga,2018-2019,4,9,TSG Hoffenheim,tsg 1899 hoffenheim,51,13,12,9,70,52,5,336.25,0.4284094383854857,-0.8476759089390865,No
Bundesliga,2018-2019,4,10,Fortuna Düsseldorf,fortuna dusseldorf,44,13,5,16,49,65,16,94.95,0.12097390683926204,-2.1121804025968403,No
Bundesliga,2018-2019,4,11,Hertha Berlin,hertha bsc,43,11,10,13,49,57,10,207.63,0.264537254102538,-1.3297731903332537,No
Bundesliga,2018-2019,4,12,Mainz,1fsv mainz 05,43,12,7,15,46,57,12,159.73,0.20350881663438997,-1.5920459500532702,No
Bundesliga,2018-2019,4,13,SC Freiburg,freiburg,36,8,12,14,46,61,15,122.1,0.1555651819386403,-1.8606904587384765,No
Bundesliga,2018-2019,4,14,Schalke 04,schalke 04,33,8,9,17,37,55,9,221.3,0.28195392926307206,-1.2660115927981317,No
Bundesliga,2018-2019,4,15,FC Augsburg,augsburg,32,8,8,18,51,71,14,139.25,0.17741565589644276,-1.729259961047742,No
Bundesliga,2018-2019,4,16,VfB Stuttgart,stuttgart,28,7,7,20,32,70,13,143.75,0.18314901641015188,-1.6974551601776755,No
Bundesliga,2018-2019,4,17,Hannover 96,hannover 96,21,5,6,23,31,71,17,91.43,0.11648914483742738,-2.1499571876788,No
Bundesliga,2018-2019,4,18,1. FC Nürnberg,1fc nuremberg,19,3,10,21,26,68,18,54.4,0.06930995821017226,-2.6691666859932384,No
Bundesliga,2019-2020,5,1,Bayern Munich,bayern munich,82,26,4,4,100,32,1,777.33,1,0,Yes
Bundesliga,2019-2020,5,2,Borussia Dortmund,borussia dortmund,69,21,6,7,84,41,2,654.05,0.8414058379324095,-0.1726811694941777,No
Bundesliga,2019-2020,5,3,RB Leipzig,rb leipzig,66,18,12,4,81,37,3,570.48,0.7338968005866234,-0.3093868589083654,No
Bundesliga,2019-2020,5,4,Borussia Mönchengladbach,borussia monchengladbach,65,20,5,9,66,40,5,254.7,0.3276600671529466,-1.1157785886430025,No
Bundesliga,2019-2020,5,5,Bayer Leverkusen,bayer 04 leverkusen,63,19,6,9,61,44,4,398.95,0.513231188812988,-0.6670288748741237,No
Bundesliga,2019-2020,5,6,TSG Hoffenheim,tsg 1899 hoffenheim,52,15,7,12,53,53,6,226.05,0.29080313380417583,-1.2351087568877994,No
Bundesliga,2019-2020,5,7,VfL Wolfsburg,vfl wolfsburg,49,13,10,11,48,46,10,207.6,0.26706804060051714,-1.32025181933668,No
Bundesliga,2019-2020,5,8,SC Freiburg,freiburg,48,13,9,12,48,47,12,122.65,0.15778369547039223,-1.8465301999239152,No
Bundesliga,2019-2020,5,9,Eintracht Frankfurt,eintracht frankfurt,45,13,6,15,59,60,9,208.98,0.26884334838485585,-1.3136264170224488,No
Bundesliga,2019-2020,5,10,Hertha Berlin,hertha bsc,41,11,8,15,48,59,8,217.2,0.27941800779591675,-1.2750463825686331,No
Bundesliga,2019-2020,5,11,1. FC Union Berlin,1fc union berlin,41,12,5,17,41,58,17,41.2,0.05300194254692345,-2.9374267142729327,No
Bundesliga,2019-2020,5,12,Schalke 04,schalke 04,39,9,12,13,38,58,7,221.58,0.28505268032881786,-1.2550812725358869,No
Bundesliga,2019-2020,5,13,Mainz,1fsv mainz 05,37,11,4,19,44,65,13,121.58,0.15640718871007164,-1.8552924883078372,No
Bundesliga,2019-2020,5,14,FC Cologne,1fc koln,36,10,6,18,51,69,15,98.48,0.12669008014614128,-2.0660114887522156,No
Bundesliga,2019-2020,5,15,FC Augsburg,augsburg,36,9,9,16,45,63,14,112.95,0.14530508278337384,-1.9289197277144017,No
Bundesliga,2019-2020,5,16,Werder Bremen,werder bremen,31,8,7,19,42,69,11,135.13,0.17383865282441174,-1.749627692578419,No
Bundesliga,2019-2020,5,17,Fortuna Düsseldorf,fortuna dusseldorf,30,6,12,16,36,67,16,71.78,0.09234173388393604,-2.3822590849089527,No
Bundesliga,2019-2020,5,18,SC Paderborn 07,paderborn 07,20,4,8,22,37,74,18,28.9,0.03717854707781765,-3.292023375510027,No
Bundesliga,2020-2021,6,1,Bayern Munich,bayern munich,78,24,6,4,99,44,1,858.23,1,0,Yes
Bundesliga,2020-2021,6,2,RB Leipzig,rb leipzig,65,19,8,7,60,32,3,574.95,0.6699253113967119,-0.40058904833827946,No
Bundesliga,2020-2021,6,3,Borussia Dortmund,borussia dortmund,64,20,4,10,75,46,2,628.4,0.7322046537641425,-0.3116952224514872,No
Bundesliga,2020-2021,6,4,VfL Wolfsburg,vfl wolfsburg,61,17,10,7,61,37,7,256.83,0.29925544434475604,-1.2064577414104494,No
Bundesliga,2020-2021,6,5,Eintracht Frankfurt,eintracht frankfurt,60,16,12,6,69,53,6,269.15,0.31361057059296454,-1.159603283825987,No
Bundesliga,2020-2021,6,6,Bayer Leverkusen,bayer 04 leverkusen,52,14,10,10,53,39,4,373.25,0.4349067266350512,-0.8326236924136535,No
Bundesliga,2020-2021,6,7,1. FC Union Berlin,1fc union berlin,50,12,14,8,50,43,17,82.05,0.09560374258648612,-2.3475433112968536,No
Bundesliga,2020-2021,6,8,Borussia Mönchengladbach,borussia monchengladbach,49,13,10,11,64,56,5,300.75,0.3504305372685644,-1.0485927739781649,No
Bundesliga,2020-2021,6,9,VfB Stuttgart,stuttgart,45,12,9,13,56,55,10,189.25,0.22051198396700183,-1.5118032365153953,No
Bundesliga,2020-2021,6,10,SC Freiburg,freiburg,45,12,9,13,52,52,12,139.1,0.1620777647017699,-1.819679029903556,No
Bundesliga,2020-2021,6,11,TSG Hoffenheim,tsg 1899 hoffenheim,43,11,10,13,52,54,9,228.15,0.2658378290201927,-1.3248688214595417,No
Bundesliga,2020-2021,6,12,Mainz,1fsv mainz 05,39,10,9,15,39,56,11,163.3,0.19027533411789385,-1.6592831288565335,No
Bundesliga,2020-2021,6,13,FC Augsburg,augsburg,36,10,6,18,36,54,16,93.05,0.10842081959381517,-2.2217351457446934,No
Bundesliga,2020-2021,6,14,Hertha Berlin,hertha bsc,35,8,11,15,41,52,8,228.88,0.2666884168579518,-1.3216742800910986,No
Bundesliga,2020-2021,6,15,Arminia Bielefeld,arminia bielefeld,35,9,8,17,26,52,18,56.73,0.06610116169325239,-2.7165689574944776,No
Bundesliga,2020-2021,6,16,FC Cologne,1fc koln,33,8,9,17,34,60,14,118.2,0.13772531838784474,-1.9824940238609552,No
