League,Season,Financial_Rank,Team,Market_Value_EUR_m
Bundesliga,2022-2023,1,Bayern Munich,948.95
Bundesliga,2022-2023,2,Borussia Dortmund,567.55
Bundesliga,2022-2023,3,RB Leipzig,486.4
Bundesliga,2022-2023,4,Bayer 04 Leverkusen,452.5
Bundesliga,2022-2023,5,Eintracht Frankfurt,324.55
Bundesliga,2022-2023,6,Borussia Mönchengladbach,241.68
Bundesliga,2022-2023,7,VfL Wolfsburg,238.3
Bundesliga,2022-2023,8,SC Freiburg,200.95
Bundesliga,2022-2023,9,TSG 1899 Hoffenheim,178.8
Bundesliga,2022-2023,10,1.FC Union Berlin,157.95
Bundesliga,2022-2023,11,VfB Stuttgart,151.05
Bundesliga,2022-2023,12,1.FSV Mainz 05,135.9
Bundesliga,2022-2023,13,FC Augsburg,132.23
Bundesliga,2022-2023,14,1.FC Köln,115.65
Bundesliga,2022-2023,15,Hertha BSC,94
Bundesliga,2022-2023,16,SV Werder Bremen,89.5
Bundesliga,2022-2023,17,FC Schalke 04,87.78
Bundesliga,2022-2023,18,VfL Bochum,53.7
