League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2021-2022,1,Juventus FC,642.5
Serie A,2021-2022,2,Inter Milan,558.55
Serie A,2021-2022,3,AC Milan,546.95
Serie A,2021-2022,4,SSC Napoli,477.23
Serie A,2021-2022,5,Atalanta BC,398.75
Serie A,2021-2022,6,AS Roma,381.25
Serie A,2021-2022,7,ACF Fiorentina,325.8
Serie A,2021-2022,8,SS Lazio,264.53
Serie A,2021-2022,9,US Sassuolo,251
Serie A,2021-2022,10,Torino FC,223.4
Serie A,2021-2022,11,Bologna FC 1909,186.2
Serie A,2021-2022,12,Hellas Verona,162.98
Serie A,2021-2022,13,Udinese Calcio,142.3
Serie A,2021-2022,14,Cagliari Calcio,134.53
Serie A,2021-2022,15,UC Sampdoria,128.55
Serie A,2021-2022,16,FC Empoli,126.5
Serie A,2021-2022,17,Genoa CFC,121.28
Serie A,2021-2022,18,Venezia FC,80.98
Serie A,2021-2022,19,Spezia Calcio,78.5
Serie A,2021-2022,20,US Salernitana 1919,70.56
