League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2023-2024,1,Inter Milan,654.85
Serie A,2023-2024,2,AC Milan,571.41
Serie A,2023-2024,3,SSC Napoli,515
Serie A,2023-2024,4,Juventus FC,504.53
Serie A,2023-2024,5,Atalanta BC,436.05
Serie A,2023-2024,6,Bologna FC 1909,349.3
Serie A,2023-2024,7,AS Roma,340.4
Serie A,2023-2024,8,ACF Fiorentina,284.1
Serie A,2023-2024,9,Torino FC,232.73
Serie A,2023-2024,10,SS Lazio,225.45
Serie A,2023-2024,11,Genoa CFC,195.4
Serie A,2023-2024,12,Udinese Calcio,170.06
Serie A,2023-2024,13,AC Monza,143.43
Serie A,2023-2024,14,Hellas Verona,140.7
Serie A,2023-2024,15,US Sassuolo,139.54
Serie A,2023-2024,16,Frosinone Calcio,108.4
Serie A,2023-2024,17,US Lecce,107.73
Serie A,2023-2024,18,FC Empoli,102.33
Serie A,2023-2024,19,US Salernitana 1919,94.6
Serie A,2023-2024,20,Cagliari Calcio,92.23
