League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2016-2017,1,Juventus FC,497.18
Serie A,2016-2017,2,SSC Napoli,387.3
Serie A,2016-2017,3,AS Roma,354.68
Serie A,2016-2017,4,Inter Milan,328.3
Serie A,2016-2017,5,AC Milan,254.33
Serie A,2016-2017,6,SS Lazio,226.45
Serie A,2016-2017,7,ACF Fiorentina,217.08
Serie A,2016-2017,8,Torino FC,162.35
Serie A,2016-2017,9,Atalanta BC,161.7
Serie A,2016-2017,10,US Sassuolo,145.25
Serie A,2016-2017,11,UC Sampdoria,117.58
Serie A,2016-2017,12,Genoa CFC,108.18
Serie A,2016-2017,13,Udinese Calcio,101.95
Serie A,2016-2017,14,Bologna FC 1909,95
Serie A,2016-2017,15,Cagliari Calcio,61.08
Serie A,2016-2017,16,FC Empoli,55.45
Serie A,2016-2017,17,Delfino Pescara 1936,48.1
Serie A,2016-2017,18,Chievo Verona,45.88
Serie A,2016-2017,19,US Palermo,41.1
Serie A,2016-2017,20,FC Crotone,36.7
