League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2022-2023,1,SSC Napoli,654.08
Serie A,2022-2023,2,Inter Milan,567.55
Serie A,2022-2023,3,AC Milan,545.1
Serie A,2022-2023,4,Juventus FC,483.13
Serie A,2022-2023,5,AS Roma,361.38
Serie A,2022-2023,6,Atalanta BC,338.38
Serie A,2022-2023,7,SS Lazio,266.43
Serie A,2022-2023,8,ACF Fiorentina,258.8
Serie A,2022-2023,9,US Sassuolo,232.2
Serie A,2022-2023,10,Torino FC,197.19
Serie A,2022-2023,11,Udinese Calcio,188.86
Serie A,2022-2023,12,Bologna FC 1909,153.63
Serie A,2022-2023,13,AC Monza,135.7
Serie A,2022-2023,14,FC Empoli,125.53
Serie A,2022-2023,15,Hellas Verona,123.89
Serie A,2022-2023,16,US Salernitana 1919,118.35
Serie A,2022-2023,17,Spezia Calcio,115.81
Serie A,2022-2023,18,US Lecce,105.2
Serie A,2022-2023,19,US Cremonese,83.78
Serie A,2022-2023,20,UC Sampdoria,82.96
