League,Season,Financial_Rank,Team,Market_Value_EUR_m
Serie A,2019-2020,1,Juventus FC,661.88
Serie A,2019-2020,2,Inter Milan,606.05
Serie A,2019-2020,3,SSC Napoli,548.28
Serie A,2019-2020,4,AC Milan,404.33
Serie A,2019-2020,5,AS Roma,392.73
Serie A,2019-2020,6,SS Lazio,303.88
Serie A,2019-2020,7,ACF Fiorentina,302.23
Serie A,2019-2020,8,Atalanta BC,291.43
Serie A,2019-2020,9,US Sassuolo,167.98
Serie A,2019-2020,10,Cagliari Calcio,167.83
Serie A,2019-2020,11,Torino FC,163.55
Serie A,2019-2020,12,Genoa CFC,142.38
Serie A,2019-2020,13,UC Sampdoria,135.28
Serie A,2019-2020,14,Bologna FC 1909,129.65
Serie A,2019-2020,15,Parma Calcio 1913,128.75
Serie A,2019-2020,16,Udinese Calcio,121.08
Serie A,2019-2020,17,Hellas Verona,112.53
Serie A,2019-2020,18,Brescia Calcio (- 2025),83.23
Serie A,2019-2020,19,SPAL,73.63
Serie A,2019-2020,20,US Lecce,52.33
