League,Season,Financial_Rank,Team,Market_Value_M_EUR
Ligue 1,2020-2021,15,FC Metz,103.5
Ligue 1,2020-2021,16,Stade Brestois 29,103.23
Ligue 1,2020-2021,17,FC Nantes,94.75
Ligue 1,2020-2021,18,FC Lorient,72.88
Ligue 1,2020-2021,19,Dijon FCO,65.63
Ligue 1,2020-2021,20,Nîmes Olympique,60.4
Ligue 1,2021-2022,1,Paris Saint-Germain,875.15
Ligue 1,2021-2022,2,Olympique Lyon,397.7
Ligue 1,2021-2022,3,AS Monaco,396
Ligue 1,2021-2022,4,LOSC Lille,306.88
Ligue 1,2021-2022,5,Stade Rennais FC,305.35
Ligue 1,2021-2022,6,Olympique Marseille,284.7
Ligue 1,2021-2022,7,OGC Nice,266.05
Ligue 1,2021-2022,8,RC Lens,154.05
Ligue 1,2021-2022,9,Stade Reims,149.4
Ligue 1,2021-2022,10,Montpellier HSC,144.6
Ligue 1,2021-2022,11,RC Strasbourg Alsace,120.05
Ligue 1,2021-2022,12,FC Girondins Bordeaux,116.85
Ligue 1,2021-2022,13,FC Nantes,112.65
Ligue 1,2021-2022,14,AS Saint-Étienne,105.65
Ligue 1,2021-2022,15,Stade Brestois 29,103.15
Ligue 1,2021-2022,16,FC Metz,91.05
Ligue 1,2021-2022,17,Angers SCO,89.5
Ligue 1,2021-2022,18,ESTAC Troyes,73.2
Ligue 1,2021-2022,19,FC Lorient,61.3
Ligue 1,2021-2022,20,Clermont Foot 63,55.1
Ligue 1,2022-2023,1,Paris Saint-Germain,891.1
Ligue 1,2022-2023,2,Stade Rennais FC,387.75
Ligue 1,2022-2023,3,AS Monaco,368.3
Ligue 1,2022-2023,4,Olympique Lyon,350.95
Ligue 1,2022-2023,5,Olympique Marseille,331.55
Ligue 1,2022-2023,6,OGC Nice,310.8
Ligue 1,2022-2023,7,LOSC Lille,247.95
Ligue 1,2022-2023,8,RC Lens,238.15
Ligue 1,2022-2023,9,FC Lorient,175.45
Ligue 1,2022-2023,10,Stade Reims,159.05
Ligue 1,2022-2023,11,Montpellier HSC,142.9
Ligue 1,2022-2023,12,RC Strasbourg Alsace,123.55
Ligue 1,2022-2023,13,FC Nantes,119.28
Ligue 1,2022-2023,14,FC Toulouse,104.8
Ligue 1,2022-2023,15,Stade Brestois 29,76.65
Ligue 1,2022-2023,16,ESTAC Troyes,76.3
Ligue 1,2022-2023,17,Angers SCO,71.8
Ligue 1,2022-2023,18,AJ Auxerre,54.8
Ligue 1,2022-2023,19,Clermont Foot 63,48
Ligue 1,2022-2023,20,AC Ajaccio,27
Ligue 1,2023-2024,1,Paris Saint-Germain,1020
Ligue 1,2023-2024,2,AS Monaco,398.55
Ligue 1,2023-2024,3,Stade Rennais FC,375.35
Ligue 1,2023-2024,4,LOSC Lille,328.9
Ligue 1,2023-2024,5,Olympique Marseille,311.4
Ligue 1,2023-2024,6,Olympique Lyon,305.95
Ligue 1,2023-2024,7,OGC Nice,268.78
Ligue 1,2023-2024,8,RC Lens,205.6
Ligue 1,2023-2024,9,RC Strasbourg Alsace,157.7
Ligue 1,2023-2024,10,Montpellier HSC,145.58
Ligue 1,2023-2024,11,FC Toulouse,145.2
Ligue 1,2023-2024,12,Stade Reims,134.55
Ligue 1,2023-2024,13,FC Lorient,131.85
Ligue 1,2023-2024,14,FC Nantes,125.9
Ligue 1,2023-2024,15,Stade Brestois 29,115.15
Ligue 1,2023-2024,16,Le Havre AC,72.5
Ligue 1,2023-2024,17,FC Metz,65.4
Ligue 1,2023-2024,18,Clermont Foot 63,61.35
Ligue 1,2024-2025,1,Paris Saint-Germain,1140
Ligue 1,2024-2025,2,AS Monaco,411.15
Ligue 1,2024-2025,3,Olympique Marseille,358
Ligue 1,2024-2025,4,LOSC Lille,336.55
Ligue 1,2024-2025,5,Olympique Lyon,309.85
Ligue 1,2024-2025,6,RC Strasbourg Alsace,307.85
Ligue 1,2024-2025,7,Stade Rennais FC,294.7
Ligue 1,2024-2025,8,OGC Nice,227.05
Ligue 1,2024-2025,9,RC Lens,221.45
Ligue 1,2024-2025,10,Stade Reims,152.5
Ligue 1,2024-2025,11,FC Toulouse,121.6
Ligue 1,2024-2025,12,FC Nantes,114.65
Ligue 1,2024-2025,13,Stade Brestois 29,110.65
Ligue 1,2024-2025,14,AJ Auxerre,86.9
Ligue 1,2024-2025,15,AS Saint-Étienne,81.6
Ligue 1,2024-2025,16,Le Havre AC,70.55
Ligue 1,2024-2025,17,Montpellier HSC,65.85
Ligue 1,2024-2025,18,Angers SCO,51.65
