League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2024-2025,1,Barcelona,88,28,4,6,102,39
La Liga,2024-2025,2,Real Madrid,84,26,6,6,78,38
La Liga,2024-2025,3,Atlético Madrid,76,22,10,6,68,30
La Liga,2024-2025,4,Athletic Club,70,19,13,6,54,29
La Liga,2024-2025,5,Villarreal,70,20,10,8,71,51
La Liga,2024-2025,6,Real Betis,60,16,12,10,57,50
La Liga,2024-2025,7,Celta Vigo,55,16,7,15,59,57
La Liga,2024-2025,8,Rayo Vallecano,52,13,13,12,41,45
La Liga,2024-2025,9,Osasuna,52,12,16,10,48,52
La Liga,2024-2025,10,Mallorca,48,13,9,16,35,44
La Liga,2024-2025,11,Real Sociedad,46,13,7,18,35,46
La Liga,2024-2025,12,Valencia,46,11,13,14,44,54
La Liga,2024-2025,13,Getafe,42,11,9,18,34,39
La Liga,2024-2025,14,Espanyol,42,11,9,18,40,51
La Liga,2024-2025,15,Alavés,42,10,12,16,38,48
La Liga,2024-2025,16,Girona,41,11,8,19,44,60
La Liga,2024-2025,17,Sevilla,41,10,11,17,42,55
La Liga,2024-2025,18,Leganés,40,9,13,16,39,56
La Liga,2024-2025,19,Las Palmas,32,8,8,22,40,61
La Liga,2024-2025,20,Real Valladolid,16,4,4,30,26,90
