League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2022-2023,1,Barcelona,88,28,4,6,70,20
La Liga,2022-2023,2,Real Madrid,78,24,6,8,75,36
La Liga,2022-2023,3,Atlético Madrid,77,23,8,7,70,33
La Liga,2022-2023,4,Real Sociedad,71,21,8,9,51,35
La Liga,2022-2023,5,Villarreal,64,19,7,12,59,40
La Liga,2022-2023,6,Real Betis,60,17,9,12,46,41
La Liga,2022-2023,7,Osasuna,53,15,8,15,37,42
La Liga,2022-2023,8,Athletic Club,51,14,9,15,47,43
La Liga,2022-2023,9,Mallorca,50,14,8,16,37,43
La Liga,2022-2023,10,Girona,49,13,10,15,58,55
La Liga,2022-2023,11,Rayo Vallecano,49,13,10,15,45,53
La Liga,2022-2023,12,Sevilla,49,13,10,15,47,54
La Liga,2022-2023,13,Celta Vigo,43,11,10,17,43,53
La Liga,2022-2023,14,Cádiz,42,10,12,16,30,53
La Liga,2022-2023,15,Getafe,42,10,12,16,34,45
La Liga,2022-2023,16,Valencia,42,11,9,18,42,45
La Liga,2022-2023,17,Almería,41,11,8,19,49,65
La Liga,2022-2023,18,Real Valladolid,40,11,7,20,33,63
La Liga,2022-2023,19,Espanyol,37,8,13,17,52,69
La Liga,2022-2023,20,Elche,25,5,10,23,30,67
