League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2015-2016,1,Barcelona,91,29,4,5,112,29
La Liga,2015-2016,2,Real Madrid,90,28,6,4,110,34
La Liga,2015-2016,3,Atlético Madrid,88,28,4,6,63,18
La Liga,2015-2016,4,Villarreal,64,18,10,10,44,35
La Liga,2015-2016,5,Athletic Club,62,18,8,12,58,45
La Liga,2015-2016,6,Celta Vigo,60,17,9,12,51,59
La Liga,2015-2016,7,Sevilla,52,14,10,14,51,50
La Liga,2015-2016,8,Málaga,48,12,12,14,38,35
La Liga,2015-2016,9,Real Sociedad,48,13,9,16,45,48
La Liga,2015-2016,10,Real Betis,45,11,12,15,34,52
La Liga,2015-2016,11,Las Palmas,44,12,8,18,45,53
La Liga,2015-2016,12,Valencia,44,11,11,16,46,48
La Liga,2015-2016,13,Espanyol,43,12,7,19,40,74
La Liga,2015-2016,14,Eibar,43,11,10,17,49,61
La Liga,2015-2016,15,Deportivo La Coruña,42,8,18,12,45,61
La Liga,2015-2016,16,Granada,39,10,9,19,46,69
La Liga,2015-2016,17,Sporting Gijón,39,10,9,19,40,62
La Liga,2015-2016,18,Rayo Vallecano,38,9,11,18,52,73
La Liga,2015-2016,19,Getafe,36,9,9,20,37,67
La Liga,2015-2016,20,Levante,32,8,8,22,37,70
