League,Season,Financial_Rank,Team,Market_Value_EUR_m
La Liga,2016-2017,1,Real Madrid,802.9
La Liga,2016-2017,2,FC Barcelona,765.3
La Liga,2016-2017,3,Atlético de Madrid,515.8
La Liga,2016-2017,4,Sevilla FC,270.1
La Liga,2016-2017,5,Valencia CF,257.5
La Liga,2016-2017,6,Villarreal CF,190.7
La Liga,2016-2017,7,Athletic Bilbao,172.6
La Liga,2016-2017,8,Real Sociedad,156.45
La Liga,2016-2017,9,Celta de Vigo,122.4
La Liga,2016-2017,10,Deportivo de La Coruña,94
La Liga,2016-2017,11,Deportivo Alavés,85.4
La Liga,2016-2017,12,Málaga CF,84.3
La Liga,2016-2017,13,UD Las Palmas,84.3
La Liga,2016-2017,14,Real Betis Balompié,84.2
La Liga,2016-2017,15,RCD Espanyol Barcelona,80.8
La Liga,2016-2017,16,SD Eibar,67.95
La Liga,2016-2017,17,Granada CF,66.45
La Liga,2016-2017,18,CD Leganés,53.15
La Liga,2016-2017,19,Sporting Gijón,46.75
La Liga,2016-2017,20,CA Osasuna,42.9
