League,Total_Titles,Titles_FR_gt3,Pct_FR_gt3,Min_FR_winner,Max_FR_winner,Avg_FR_winner
Bundesliga,10,0,0,1,2,1.1
La Liga,10,0,0,1,3,1.5
Ligue 1,10,1,10,1,4,1.4
Premier League,10,2,20,1,11,2.4
Serie A,10,1,10,1,5,1.6
