Period,N,R2,Adj_R2,AIC,Slope_FR,Slope_FR_SE,Slope_FR_CI_low,Slope_FR_CI_high,Slope_FR2,Slope_FR2_SE
Early (2015-16 to 2019-20),489,0.6456,0.6441,2586.5,1.2489,0.1123,1.0282,1.4695,-0.0219,0.0053
Late (2020-21 to 2024-25),486,0.6975,0.6962,2487.43,1.2102,0.1041,1.0056,1.4147,-0.0185,0.0049
