model_label,response,term,estimate,std.error,statistic,p.value,conf.low,conf.high
H: OLS — Pos ~ FR + FR^2,League_Position,(Intercept),0.4171886916580319,0.3441144274074407,1.2123545496221504,0.2256709809415671,-0.25726319262117464,1.0916405759372385
H: OLS — Pos ~ FR + FR^2,League_Position,Financial_Rank,1.2308833131204389,0.07648681161302412,16.09275229497009,7.648435799944665e-52,1.0809719170666117,1.380794709174266
H: OLS — Pos ~ FR + FR^2,League_Position,I(Financial_Rank^2),-0.020249308771009968,0.00359502149195805,-5.632597417374843,2.3229971656669447e-8,-0.027295421418895197,-0.01320319612312474
