League,Season,Team,Points,Financial_Rank,Market_Value_M_EUR,Normalized_Value
Premier League,2015-2016,Leicester City,81,11,161.1,0.29105691056910565
Serie A,2024-2025,Napoli,82,5,500.45,0.6745972905573903
Ligue 1,2020-2021,Lille,83,4,323.2,0.4014906832298136
Premier League,2024-2025,Liverpool,84,4,950.95,0.6992279411764706
