League,Season,Team,Financial_Rank,Points,League_Position,Fitted_Points,Residual_Points,Abs_Residual_Points,Rank_Points_Residual,Residual_Position,Rank_Position_Residual
Ligue 1,2016-2017,Marseille,5,62,5,63.05346276945188,-1.0534627694518832,1.0534627694518832,884,-1.0652527506264242,661
Premier League,2020-2021,Tottenham Hotspur,5,62,7,63.05346276945188,-1.0534627694518832,1.0534627694518832,885,0.9347472493735758,728
Serie A,2017-2018,Cagliari,15,39,16,37.94712995129385,1.052870048706147,1.052870048706147,886,1.6795766181990217,574
Serie A,2018-2019,AC Milan,4,68,5,66.95897807717701,1.041021922822992,1.041021922822992,887,-0.016988704309448543,965
Bundesliga,2017-2018,VfB Stuttgart,9,51,7,49.96755067656831,1.0324493234316918,1.0324493234316918,888,-2.8533144209861074,365
La Liga,2022-2023,Athletic Club,9,51,8,49.96755067656831,1.0324493234316918,1.0324493234316918,889,-1.8533144209861074,552
Serie A,2019-2020,Sassuolo,9,51,8,49.96755067656831,1.0324493234316918,1.0324493234316918,890,-1.8533144209861074,557
Ligue 1,2016-2017,Caen,17,37,17,35.96924235328262,1.0307576467173831,1.0307576467173831,891,1.5145359098539721,583
Bundesliga,2018-2019,Borussia Mönchengladbach,7,55,5,56.00327689540669,-1.0032768954066924,1.0032768954066924,892,-3.040282488787909,324
Ligue 1,2023-2024,Nice,7,55,5,56.00327689540669,-1.0032768954066924,1.0032768954066924,893,-3.040282488787909,329
Serie A,2017-2018,Fiorentina,7,57,8,56.00327689540669,0.9967231045933076,0.9967231045933076,894,-0.04028248878790919,951
La Liga,2015-2016,Getafe,19,36,19,35.00581441047815,0.9941855895218481,0.9941855895218481,895,2.511493007472211,395
Ligue 1,2021-2022,Lorient,19,36,16,35.00581441047815,0.9941855895218481,0.9941855895218481,896,-0.48850699252778895,859
Serie A,2021-2022,Spezia,19,36,16,35.00581441047815,0.9941855895218481,0.9941855895218481,897,-0.48850699252778895,860
Bundesliga,2016-2017,FC Cologne,9,49,5,49.96755067656831,-0.9675506765683082,0.9675506765683082,898,-4.853314420986107,132
La Liga,2017-2018,Celta Vigo,9,49,13,49.96755067656831,-0.9675506765683082,0.9675506765683082,899,3.1466855790138926,299
Premier League,2015-2016,Manchester United,4,66,5,66.95897807717701,-0.958978077177008,0.958978077177008,900,-0.016988704309448543,963
Premier League,2019-2020,Chelsea,4,66,4,66.95897807717701,-0.958978077177008,0.958978077177008,901,-1.0169887043094485,687
Serie A,2019-2020,AC Milan,4,66,6,66.95897807717701,-0.958978077177008,0.958978077177008,902,0.9830112956905515,716
La Liga,2022-2023,Villarreal,5,64,5,63.05346276945188,0.9465372305481168,0.9465372305481168,903,-1.0652527506264242,660
Premier League,2016-2017,Leicester City,11,44,12,44.9462841129367,-0.9462841129367021,0.9462841129367021,904,0.49565145277898104,855
Premier League,2017-2018,Crystal Palace,11,44,11,44.9462841129367,-0.9462841129367021,0.9462841129367021,905,-0.504348547221019,850
Bundesliga,2024-2025,1. FC Union Berlin,13,40,13,40.93947720451189,-0.9394772045118884,0.9394772045118884,906,0.006615132507359789,971
Ligue 1,2015-2016,Toulouse,13,40,17,40.93947720451189,-0.9394772045118884,0.9394772045118884,907,4.00661513250736,207
Ligue 1,2019-2020,Montpellier,13,40,8,40.93947720451189,-0.9394772045118884,0.9394772045118884,908,-4.99338486749264,122
Premier League,2016-2017,Watford,13,40,17,40.93947720451189,-0.9394772045118884,0.9394772045118884,909,4.00661513250736,209
Serie A,2017-2018,Udinese,13,40,14,40.93947720451189,-0.9394772045118884,0.9394772045118884,910,1.0066151325073598,700
Ligue 1,2018-2019,Dijon FCO,20,34,18,34.90452280977847,-0.9045228097784701,0.9045228097784701,911,1.070720733517561,649
Ligue 1,2019-2020,Brest,20,34,14,34.90452280977847,-0.9045228097784701,0.9045228097784701,912,-2.929279266482439,360
Premier League,2018-2019,Cardiff City,20,34,18,34.90452280977847,-0.9045228097784701,0.9045228097784701,913,1.070720733517561,651
Serie A,2016-2017,Crotone,20,34,17,34.90452280977847,-0.9045228097784701,0.9045228097784701,914,0.07072073351756103,931
Serie A,2017-2018,Internazionale,3,72,4,71.11810829870385,0.8818917012961549,0.8818917012961549,915,0.07177479349834881,925
Ligue 1,2018-2019,Stade Rennais,8,52,10,52.858606329086655,-0.8586063290866548,0.8586063290866548,916,1.0329518193675806,673
Premier League,2018-2019,Leicester City,8,52,9,52.858606329086655,-0.8586063290866548,0.8586063290866548,917,0.032951819367580626,956
Bundesliga,2020-2021,FC Augsburg,16,36,13,36.831378695387386,-0.8313786953873858,0.8313786953873858,918,-1.9231934617189133,543
Bundesliga,2022-2023,Werder Bremen,16,36,13,36.831378695387386,-0.8313786953873858,0.8313786953873858,919,-1.9231934617189133,544
Bundesliga,2017-2018,Werder Bremen,12,42,11,42.81607320182344,-0.8160732018234427,0.8160732018234427,920,-1.2691164331022406,615
Premier League,2019-2020,Manchester City,1,81,2,80.1972134831626,0.8027865168374007,0.8027865168374007,921,0.37080014358640745,869
Serie A,2024-2025,Internazionale,1,81,2,80.1972134831626,0.8027865168374007,0.8027865168374007,922,0.37080014358640745,870
La Liga,2015-2016,Málaga,10,48,8,47.33010993785166,0.6698900621483403,0.6698900621483403,923,-2.6990812098489734,375
Ligue 1,2018-2019,Nantes,10,48,12,47.33010993785166,0.6698900621483403,0.6698900621483403,924,1.3009187901510266,611
Ligue 1,2024-2025,Angers,18,36,14,35.360720924979546,0.639279075020454,0.639279075020454,925,-2.0072352670823186,487
Premier League,2018-2019,Brighton & Hove Albion,18,36,17,35.360720924979546,0.639279075020454,0.639279075020454,926,0.9927647329176814,711
Serie A,2022-2023,Lecce,18,36,16,35.360720924979546,0.639279075020454,0.639279075020454,927,-0.007235267082318586,969
Serie A,2023-2024,Empoli,18,36,17,35.360720924979546,0.639279075020454,0.639279075020454,928,0.9927647329176814,712
Bundesliga,2020-2021,Eintracht Frankfurt,6,60,5,59.40156237552844,0.5984376244715577,0.5984376244715577,929,-2.073017345452577,437
La Liga,2024-2025,Real Betis,6,60,6,59.40156237552844,0.5984376244715577,0.5984376244715577,930,-1.0730173454525769,640
Ligue 1,2020-2021,Marseille,6,60,5,59.40156237552844,0.5984376244715577,0.5984376244715577,931,-2.073017345452577,442
Premier League,2022-2023,Tottenham Hotspur,6,60,8,59.40156237552844,0.5984376244715577,0.5984376244715577,932,0.9269826545474231,752
Premier League,2023-2024,Manchester United,6,60,8,59.40156237552844,0.5984376244715577,0.5984376244715577,933,0.9269826545474231,753
Serie A,2023-2024,AC Milan,2,75,2,75.53085343403237,-0.5308534340323661,0.5308534340323661,934,-0.7989622572030326,783
Bundesliga,2018-2019,Borussia Dortmund,2,76,2,75.53085343403237,0.46914656596763393,0.46914656596763393,935,-0.7989622572030326,762
La Liga,2017-2018,Real Madrid,2,76,3,75.53085343403237,0.46914656596763393,0.46914656596763393,936,0.2010377427969674,897
La Liga,2018-2019,Atlético Madrid,2,76,2,75.53085343403237,0.46914656596763393,0.46914656596763393,937,-0.7989622572030326,769
Ligue 1,2020-2021,Lyon,2,76,4,75.53085343403237,0.46914656596763393,0.46914656596763393,938,1.2010377427969674,621
Ligue 1,2016-2017,Bordeaux,6,59,6,59.40156237552844,-0.4015623755284423,0.4015623755284423,939,-1.0730173454525769,641
Bundesliga,2020-2021,Arminia Bielefeld,18,35,15,35.360720924979546,-0.360720924979546,0.360720924979546,940,-1.0072352670823186,689
Bundesliga,2022-2023,VfL Bochum,18,35,14,35.360720924979546,-0.360720924979546,0.360720924979546,941,-2.0072352670823186,486
La Liga,2016-2017,Leganés,18,35,17,35.360720924979546,-0.360720924979546,0.360720924979546,942,0.9927647329176814,708
Ligue 1,2022-2023,AJ Auxerre,18,35,17,35.360720924979546,-0.360720924979546,0.360720924979546,943,0.9927647329176814,710
La Liga,2016-2017,Real Betis,14,39,15,39.31649612100202,-0.31649612100201807,0.31649612100201807,944,1.3228461496077806,604
La Liga,2019-2020,Alavés,14,39,16,39.31649612100202,-0.31649612100201807,0.31649612100201807,945,2.3228461496077806,416
Premier League,2023-2024,Brentford,14,39,16,39.31649612100202,-0.31649612100201807,0.31649612100201807,946,2.3228461496077806,417
Serie A,2017-2018,Bologna,14,39,15,39.31649612100202,-0.31649612100201807,0.31649612100201807,947,1.3228461496077806,607
Bundesliga,2018-2019,Mainz,12,43,12,42.81607320182344,0.18392679817655733,0.18392679817655733,948,-0.26911643310224065,889
Bundesliga,2024-2025,FC Augsburg,12,43,12,42.81607320182344,0.18392679817655733,0.18392679817655733,949,-0.26911643310224065,890
La Liga,2015-2016,Espanyol,12,43,13,42.81607320182344,0.18392679817655733,0.18392679817655733,950,0.7308835668977594,785
La Liga,2022-2023,Celta Vigo,12,43,13,42.81607320182344,0.18392679817655733,0.18392679817655733,951,0.7308835668977594,786
Serie A,2017-2018,Sassuolo,12,43,11,42.81607320182344,0.18392679817655733,0.18392679817655733,952,-1.2691164331022406,619
Serie A,2018-2019,Udinese,12,43,12,42.81607320182344,0.18392679817655733,0.18392679817655733,953,-0.26911643310224065,893
La Liga,2018-2019,Girona,16,37,18,36.831378695387386,0.16862130461261415,0.16862130461261415,954,3.0768065382810867,305
Serie A,2024-2025,Hellas Verona,16,37,14,36.831378695387386,0.16862130461261415,0.16862130461261415,955,-0.9231934617189133,757
La Liga,2018-2019,Athletic Club,8,53,8,52.858606329086655,0.1413936709133452,0.1413936709133452,956,-0.9670481806324194,717
Serie A,2016-2017,Torino,8,53,9,52.858606329086655,0.1413936709133452,0.1413936709133452,957,0.032951819367580626,957
La Liga,2021-2022,Atlético Madrid,3,71,3,71.11810829870385,-0.1181082987038451,0.1181082987038451,958,-0.9282252065016512,742
Premier League,2015-2016,Arsenal,3,71,2,71.11810829870385,-0.1181082987038451,0.1181082987038451,959,-1.9282252065016512,532
Ligue 1,2020-2021,Nimes,20,35,19,34.90452280977847,0.0954771902215299,0.0954771902215299,960,2.070720733517561,459
Premier League,2021-2022,Burnley,20,35,18,34.90452280977847,0.0954771902215299,0.0954771902215299,961,1.070720733517561,652
Serie A,2017-2018,Crotone,20,35,18,34.90452280977847,0.0954771902215299,0.0954771902215299,962,1.070720733517561,655
Serie A,2019-2020,Lecce,20,35,18,34.90452280977847,0.0954771902215299,0.0954771902215299,963,1.070720733517561,656
La Liga,2020-2021,Levante,13,41,14,40.93947720451189,0.06052279548811157,0.06052279548811157,964,1.0066151325073598,695
Ligue 1,2019-2020,Stade de Reims,13,41,6,40.93947720451189,0.06052279548811157,0.06052279548811157,965,-6.99338486749264,36
Premier League,2017-2018,Watford,13,41,14,40.93947720451189,0.06052279548811157,0.06052279548811157,966,1.0066151325073598,698
Bundesliga,2017-2018,Schalke 04,5,63,2,63.05346276945188,-0.05346276945188322,0.05346276945188322,967,-4.065252750626424,197
Serie A,2016-2017,AC Milan,5,63,6,63.05346276945188,-0.05346276945188322,0.05346276945188322,968,-0.06525275062642422,940
Serie A,2022-2023,AS Roma,5,63,6,63.05346276945188,-0.05346276945188322,0.05346276945188322,969,-0.06525275062642422,942
Bundesliga,2021-2022,FC Augsburg,15,38,14,37.94712995129385,0.05287004870614709,0.05287004870614709,970,-0.3204233818009783,880
Premier League,2022-2023,Nottingham Forest,15,38,16,37.94712995129385,0.05287004870614709,0.05287004870614709,971,1.6795766181990217,573
Serie A,2015-2016,Internazionale,4,67,4,66.95897807717701,0.041021922822991996,0.041021922822991996,972,-1.0169887043094485,688
Ligue 1,2016-2017,Stade Rennais,9,50,9,49.96755067656831,0.03244932343169182,0.03244932343169182,973,-0.8533144209861074,759
Serie A,2021-2022,Sassuolo,9,50,11,49.96755067656831,0.03244932343169182,0.03244932343169182,974,1.1466855790138926,631
Ligue 1,2016-2017,AS Nancy Lorraine,19,35,19,35.00581441047815,-0.005814410478151899,0.005814410478151899,975,2.511493007472211,396
