League,Season,Team,Financial_Rank,Points,League_Position,Fitted_Points,Residual_Points,Abs_Residual_Points,Rank_Points_Residual,Residual_Position,Rank_Position_Residual
Ligue 1,2017-2018,Angers,15,41,14,37.94712995129385,3.052870048706147,3.052870048706147,734,-0.3204233818009783,881
Premier League,2019-2020,Brighton & Hove Albion,15,41,15,37.94712995129385,3.052870048706147,3.052870048706147,735,0.6795766181990217,797
La Liga,2024-2025,Athletic Club,4,70,4,66.95897807717701,3.041021922822992,3.041021922822992,736,-1.0169887043094485,682
Serie A,2023-2024,Torino,9,53,9,49.96755067656831,3.032449323431692,3.032449323431692,737,-0.8533144209861074,760
La Liga,2023-2024,Villarreal,7,53,8,56.00327689540669,-3.0032768954066924,3.0032768954066924,738,-0.04028248878790919,944
Premier League,2020-2021,Everton,7,59,10,56.00327689540669,2.9967231045933076,2.9967231045933076,739,1.9597175112120908,519
La Liga,2023-2024,Rayo Vallecano,19,38,17,35.00581441047815,2.994185589521848,2.994185589521848,740,0.511493007472211,846
Ligue 1,2017-2018,Strasbourg,19,38,15,35.00581441047815,2.994185589521848,2.994185589521848,741,-1.488506992527789,594
Bundesliga,2023-2024,VfL Bochum,17,33,16,35.96924235328262,-2.969242353282617,2.969242353282617,742,0.5145359098539721,843
La Liga,2019-2020,Mallorca,17,33,19,35.96924235328262,-2.969242353282617,2.969242353282617,743,3.514535909853972,257
Premier League,2017-2018,Swansea City,17,33,18,35.96924235328262,-2.969242353282617,2.969242353282617,744,2.514535909853972,392
Bundesliga,2021-2022,Bayer Leverkusen,4,64,3,66.95897807717701,-2.958978077177008,2.958978077177008,745,-2.0169887043094485,477
La Liga,2021-2022,Levante,15,35,19,37.94712995129385,-2.947129951293853,2.947129951293853,746,4.679576618199022,138
Ligue 1,2021-2022,Stade Rennais,5,66,4,63.05346276945188,2.946537230548117,2.946537230548117,747,-2.065252750626424,464
Premier League,2018-2019,Manchester United,5,66,6,63.05346276945188,2.946537230548117,2.946537230548117,748,-0.06525275062642422,939
Premier League,2019-2020,Manchester United,5,66,3,63.05346276945188,2.946537230548117,2.946537230548117,749,-3.065252750626424,322
Premier League,2023-2024,Tottenham Hotspur,5,66,5,63.05346276945188,2.946537230548117,2.946537230548117,750,-1.0652527506264242,664
Serie A,2018-2019,AS Roma,5,66,6,63.05346276945188,2.946537230548117,2.946537230548117,751,-0.06525275062642422,941
La Liga,2021-2022,Espanyol,11,42,14,44.9462841129367,-2.946284112936702,2.946284112936702,752,2.495651452778981,409
Ligue 1,2020-2021,Strasbourg,11,42,15,44.9462841129367,-2.946284112936702,2.946284112936702,753,3.495651452778981,275
Ligue 1,2024-2025,Toulouse,11,42,10,44.9462841129367,-2.946284112936702,2.946284112936702,754,-1.504348547221019,589
Serie A,2018-2019,Genoa,13,38,17,40.93947720451189,-2.9394772045118884,2.9394772045118884,755,4.00661513250736,211
Premier League,2021-2022,Chelsea,3,74,3,71.11810829870385,2.881891701296155,2.881891701296155,756,-0.9282252065016512,748
Premier League,2024-2025,Arsenal,3,74,2,71.11810829870385,2.881891701296155,2.881891701296155,757,-1.9282252065016512,534
Bundesliga,2015-2016,Mainz,8,50,6,52.858606329086655,-2.858606329086655,2.858606329086655,758,-2.9670481806324194,347
Ligue 1,2024-2025,Le Havre AC,16,34,15,36.831378695387386,-2.831378695387386,2.831378695387386,759,0.07680653828108674,912
Premier League,2019-2020,Watford,16,34,19,36.831378695387386,-2.831378695387386,2.831378695387386,760,4.076806538281087,191
Ligue 1,2022-2023,Strasbourg,12,40,15,42.81607320182344,-2.8160732018234427,2.8160732018234427,761,2.7308835668977594,373
Premier League,2022-2023,West Ham United,12,40,14,42.81607320182344,-2.8160732018234427,2.8160732018234427,762,1.7308835668977594,566
Serie A,2020-2021,Udinese,12,40,14,42.81607320182344,-2.8160732018234427,2.8160732018234427,763,1.7308835668977594,567
Serie A,2019-2020,Juventus,1,83,1,80.1972134831626,2.8027865168374007,2.8027865168374007,764,-0.6291998564135926,839
Bundesliga,2022-2023,FC Cologne,14,42,11,39.31649612100202,2.683503878997982,2.683503878997982,765,-2.6771538503922194,382
Bundesliga,2023-2024,Werder Bremen,14,42,9,39.31649612100202,2.683503878997982,2.683503878997982,766,-4.677153850392219,140
Ligue 1,2024-2025,AJ Auxerre,14,42,11,39.31649612100202,2.683503878997982,2.683503878997982,767,-2.6771538503922194,385
Serie A,2015-2016,Bologna,14,42,14,39.31649612100202,2.683503878997982,2.683503878997982,768,0.3228461496077806,876
Bundesliga,2015-2016,Hertha Berlin,10,50,7,47.33010993785166,2.6698900621483403,2.6698900621483403,769,-3.6990812098489734,244
Serie A,2021-2022,Torino,10,50,10,47.33010993785166,2.6698900621483403,2.6698900621483403,770,-0.6990812098489734,792
Bundesliga,2015-2016,SV Darmstadt 98,18,38,14,35.360720924979546,2.639279075020454,2.639279075020454,771,-2.0072352670823186,485
La Liga,2015-2016,Rayo Vallecano,18,38,18,35.360720924979546,2.639279075020454,2.639279075020454,772,1.9927647329176814,507
Ligue 1,2018-2019,SC Amiens,18,38,15,35.360720924979546,2.639279075020454,2.639279075020454,773,-1.0072352670823186,691
Ligue 1,2021-2022,Troyes,18,38,15,35.360720924979546,2.639279075020454,2.639279075020454,774,-1.0072352670823186,692
La Liga,2015-2016,Athletic Club,6,62,5,59.40156237552844,2.5984376244715577,2.5984376244715577,775,-2.073017345452577,438
La Liga,2021-2022,Real Sociedad,6,62,6,59.40156237552844,2.5984376244715577,2.5984376244715577,776,-1.0730173454525769,639
Serie A,2020-2021,AS Roma,6,62,7,59.40156237552844,2.5984376244715577,2.5984376244715577,777,-0.07301734545257688,919
La Liga,2021-2022,Barcelona,2,73,2,75.53085343403237,-2.530853434032366,2.530853434032366,778,-0.7989622572030326,771
Bundesliga,2015-2016,Borussia Dortmund,2,78,2,75.53085343403237,2.469146565967634,2.469146565967634,779,-0.7989622572030326,761
Premier League,2016-2017,Manchester City,2,78,3,75.53085343403237,2.469146565967634,2.469146565967634,780,0.2010377427969674,901
Serie A,2020-2021,Juventus,2,78,4,75.53085343403237,2.469146565967634,2.469146565967634,781,1.2010377427969674,625
Ligue 1,2024-2025,Strasbourg,6,57,7,59.40156237552844,-2.4015623755284423,2.4015623755284423,782,-0.07301734545257688,918
Bundesliga,2020-2021,VfB Stuttgart,10,45,9,47.33010993785166,-2.3301099378516597,2.3301099378516597,783,-1.6990812098489734,568
Premier League,2018-2019,AFC Bournemouth,10,45,14,47.33010993785166,-2.3301099378516597,2.3301099378516597,784,3.3009187901510266,289
Serie A,2019-2020,Cagliari,10,45,14,47.33010993785166,-2.3301099378516597,2.3301099378516597,785,3.3009187901510266,290
La Liga,2022-2023,Espanyol,14,37,19,39.31649612100202,-2.316496121002018,2.316496121002018,786,5.322846149607781,97
Bundesliga,2018-2019,Bayern Munich,1,78,1,80.1972134831626,-2.1972134831625993,2.1972134831625993,787,-0.6291998564135926,808
Bundesliga,2020-2021,Bayern Munich,1,78,1,80.1972134831626,-2.1972134831625993,2.1972134831625993,788,-0.6291998564135926,810
La Liga,2022-2023,Real Madrid,1,78,2,80.1972134831626,-2.1972134831625993,2.1972134831625993,789,0.37080014358640745,865
Bundesliga,2016-2017,Werder Bremen,12,45,8,42.81607320182344,2.1839267981765573,2.1839267981765573,790,-4.269116433102241,182
Bundesliga,2020-2021,SC Freiburg,12,45,10,42.81607320182344,2.1839267981765573,2.1839267981765573,791,-2.2691164331022406,426
Ligue 1,2020-2021,Bordeaux,12,45,12,42.81607320182344,2.1839267981765573,2.1839267981765573,792,-0.26911643310224065,891
Serie A,2015-2016,Torino,12,45,12,42.81607320182344,2.1839267981765573,2.1839267981765573,793,-0.26911643310224065,892
Bundesliga,2017-2018,Hannover 96,16,39,13,36.831378695387386,2.168621304612614,2.168621304612614,794,-1.9231934617189133,542
La Liga,2015-2016,Sporting Gijón,16,39,17,36.831378695387386,2.168621304612614,2.168621304612614,795,2.0768065382810867,435
La Liga,2021-2022,Mallorca,16,39,16,36.831378695387386,2.168621304612614,2.168621304612614,796,1.0768065382810867,633
Serie A,2015-2016,Palermo,16,39,16,36.831378695387386,2.168621304612614,2.168621304612614,797,1.0768065382810867,636
Bundesliga,2018-2019,VfL Wolfsburg,8,55,6,52.858606329086655,2.141393670913345,2.141393670913345,798,-2.9670481806324194,348
Ligue 1,2021-2022,AS Monaco,3,69,3,71.11810829870385,-2.118108298703845,2.118108298703845,799,-0.9282252065016512,747
Serie A,2018-2019,Internazionale,3,69,4,71.11810829870385,-2.118108298703845,2.118108298703845,800,0.07177479349834881,926
Ligue 1,2015-2016,GFC Ajaccio,20,37,19,34.90452280977847,2.09547719022153,2.09547719022153,801,2.070720733517561,457
Ligue 1,2016-2017,Dijon FCO,20,37,16,34.90452280977847,2.09547719022153,2.09547719022153,802,-0.929279266482439,730
Premier League,2017-2018,Huddersfield Town,20,37,16,34.90452280977847,2.09547719022153,2.09547719022153,803,-0.929279266482439,733
Bundesliga,2015-2016,FC Cologne,13,43,9,40.93947720451189,2.0605227954881116,2.0605227954881116,804,-3.99338486749264,212
La Liga,2023-2024,Getafe,13,43,12,40.93947720451189,2.0605227954881116,2.0605227954881116,805,-0.9933848674926402,701
Premier League,2020-2021,Southampton,13,43,15,40.93947720451189,2.0605227954881116,2.0605227954881116,806,2.00661513250736,495
Serie A,2024-2025,Genoa,13,43,13,40.93947720451189,2.0605227954881116,2.0605227954881116,807,0.006615132507359789,975
Ligue 1,2018-2019,Marseille,5,61,5,63.05346276945188,-2.053462769451883,2.053462769451883,808,-1.0652527506264242,662
La Liga,2023-2024,Las Palmas,15,40,16,37.94712995129385,2.052870048706147,2.052870048706147,809,1.6795766181990217,572
Premier League,2021-2022,Southampton,15,40,15,37.94712995129385,2.052870048706147,2.052870048706147,810,0.6795766181990217,798
Ligue 1,2024-2025,Lens,9,52,8,49.96755067656831,2.032449323431692,2.032449323431692,811,-1.8533144209861074,554
Premier League,2018-2019,West Ham United,9,52,10,49.96755067656831,2.032449323431692,2.032449323431692,812,0.14668557901389256,909
