League,Season,Financial_Rank,Team,Market_Value_M_EUR
Premier League,2021-2022,10,Wolverhampton Wanderers,376.95
Premier League,2021-2022,11,West Ham United,354.9
Premier League,2021-2022,12,Brighton & Hove Albion,318
Premier League,2021-2022,13,Newcastle United,313.9
Premier League,2021-2022,14,Leeds United,299.45
Premier League,2021-2022,15,Southampton FC,274.3
Premier League,2021-2022,16,Brentford FC,273.3
Premier League,2021-2022,17,Crystal Palace,271.05
Premier League,2021-2022,18,Norwich City,163.2
Premier League,2021-2022,19,Watford FC,156.2
Premier League,2021-2022,20,Burnley FC,137.85
Premier League,2022-2023,1,Manchester City,1150
Premier League,2022-2023,2,Arsenal FC,1000
Premier League,2022-2023,3,Chelsea FC,994.95
Premier League,2022-2023,4,Manchester United,847.75
Premier League,2022-2023,5,Liverpool FC,811.85
Premier League,2022-2023,6,Tottenham Hotspur,649.1
Premier League,2022-2023,7,Newcastle United,541.6
Premier League,2022-2023,8,Brighton & Hove Albion,529.8
Premier League,2022-2023,9,Aston Villa,509.55
Premier League,2022-2023,10,Wolverhampton Wanderers,497.65
Premier League,2022-2023,11,Leicester City,490.7
Premier League,2022-2023,12,West Ham United,465.6
Premier League,2022-2023,13,Southampton FC,419.95
Premier League,2022-2023,14,Everton FC,413.15
Premier League,2022-2023,15,Nottingham Forest,376.25
Premier League,2022-2023,16,Brentford FC,371.2
Premier League,2022-2023,17,Leeds United,345.15
Premier League,2022-2023,18,Crystal Palace,323.05
Premier League,2022-2023,19,Fulham FC,295.1
Premier League,2022-2023,20,AFC Bournemouth,287.2
Premier League,2023-2024,1,Manchester City,1460
Premier League,2023-2024,2,Arsenal FC,1200
Premier League,2023-2024,3,Chelsea FC,1010
Premier League,2023-2024,4,Liverpool FC,955.65
Premier League,2023-2024,5,Tottenham Hotspur,838.5
Premier League,2023-2024,6,Manchester United,808.35
Premier League,2023-2024,7,Aston Villa,709.65
Premier League,2023-2024,8,Newcastle United,652.25
Premier League,2023-2024,9,Brighton & Hove Albion,524.4
Premier League,2023-2024,10,Nottingham Forest,501.35
Premier League,2023-2024,11,West Ham United,487.5
Premier League,2023-2024,12,Crystal Palace,446.58
Premier League,2023-2024,13,Wolverhampton Wanderers,442.73
Premier League,2023-2024,14,Brentford FC,428.78
Premier League,2023-2024,15,AFC Bournemouth,401.75
Premier League,2023-2024,16,Everton FC,391.75
Premier League,2023-2024,17,Fulham FC,384.35
Premier League,2023-2024,18,Burnley FC,273.48
Premier League,2023-2024,19,Sheffield United,152.35
Premier League,2023-2024,20,Luton Town,140.9
Premier League,2024-2025,1,Manchester City,1360
Premier League,2024-2025,2,Chelsea FC,1190
Premier League,2024-2025,3,Arsenal FC,1160
Premier League,2024-2025,4,Liverpool FC,950.95
Premier League,2024-2025,5,Manchester United,825
Premier League,2024-2025,6,Tottenham Hotspur,777.3
Premier League,2024-2025,7,Aston Villa,680.55
Premier League,2024-2025,8,Newcastle United,677.53
Premier League,2024-2025,9,Brighton & Hove Albion,667.58
Premier League,2024-2025,10,Crystal Palace,526.85
Premier League,2024-2025,11,AFC Bournemouth,518.6
Premier League,2024-2025,12,Nottingham Forest,481.3
Premier League,2024-2025,13,Wolverhampton Wanderers,433.05
Premier League,2024-2025,14,Brentford FC,427.85
Premier League,2024-2025,15,West Ham United,400.7
Premier League,2024-2025,16,Everton FC,363.23
Premier League,2024-2025,17,Fulham FC,362.35
Premier League,2024-2025,18,Southampton FC,310.05
Premier League,2024-2025,19,Ipswich Town,270.1
Premier League,2024-2025,20,Leicester City,253.35
