League,Season,Financial_Rank,Team,Market_Value_M_EUR
Premier League,2020-2021,1,Manchester City,1040
Premier League,2020-2021,2,Liverpool FC,969.65
Premier League,2020-2021,3,Chelsea FC,889.2
Premier League,2020-2021,4,Manchester United,770.05
Premier League,2020-2021,5,Tottenham Hotspur,703.5
Premier League,2020-2021,6,Arsenal FC,619.25
Premier League,2020-2021,7,Everton FC,511.2
Premier League,2020-2021,8,Leicester City,510.6
Premier League,2020-2021,9,Wolverhampton Wanderers,450.3
Premier League,2020-2021,10,Aston Villa,430.7
Premier League,2020-2021,11,West Ham United,336.4
Premier League,2020-2021,12,Brighton & Hove Albion,290.4
Premier League,2020-2021,13,Southampton FC,282.8
Premier League,2020-2021,14,Newcastle United,255.35
Premier League,2020-2021,15,Fulham FC,239.75
Premier League,2020-2021,16,Leeds United,238.1
Premier League,2020-2021,17,Crystal Palace,193.85
Premier League,2020-2021,18,Sheffield United,149.85
Premier League,2020-2021,19,West Bromwich Albion,141.15
Premier League,2020-2021,20,Burnley FC,132.3
