League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2023-2024,1,Paris Saint-Germain,76,22,10,2,81,33
Ligue 1,2023-2024,2,AS Monaco,67,20,7,7,68,42
Ligue 1,2023-2024,3,Brest,61,17,10,7,53,34
Ligue 1,2023-2024,4,Lille,59,16,11,7,52,34
Ligue 1,2023-2024,5,Nice,55,15,10,9,40,29
Ligue 1,2023-2024,6,Lyon,53,16,5,13,49,55
Ligue 1,2023-2024,7,Lens,51,14,9,11,45,37
Ligue 1,2023-2024,8,Marseille,50,13,11,10,52,41
Ligue 1,2023-2024,9,Stade de Reims,47,13,8,13,42,47
Ligue 1,2023-2024,10,Stade Rennais,46,12,10,12,53,46
Ligue 1,2023-2024,11,Toulouse,43,11,10,13,42,46
Ligue 1,2023-2024,12,Montpellier,41,10,12,12,43,48
Ligue 1,2023-2024,13,Strasbourg,39,10,9,15,38,50
Ligue 1,2023-2024,14,Nantes,33,9,6,19,30,55
Ligue 1,2023-2024,15,Le Havre AC,32,7,11,16,34,45
Ligue 1,2023-2024,16,Metz,29,8,5,21,35,58
Ligue 1,2023-2024,17,Lorient,29,7,8,19,43,66
Ligue 1,2023-2024,18,Clermont Foot,25,5,10,19,26,60
