League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2022-2023,1,Paris Saint-Germain,85,27,4,7,89,40
Ligue 1,2022-2023,2,Lens,84,25,9,4,68,29
Ligue 1,2022-2023,3,Marseille,73,22,7,9,67,40
Ligue 1,2022-2023,4,Stade Rennais,68,21,5,12,69,39
Ligue 1,2022-2023,5,Lille,67,19,10,9,65,44
Ligue 1,2022-2023,6,AS Monaco,65,19,8,11,70,58
Ligue 1,2022-2023,7,Lyon,62,18,8,12,65,47
Ligue 1,2022-2023,8,Clermont Foot,59,17,8,13,45,49
Ligue 1,2022-2023,9,Nice,58,15,13,10,48,37
Ligue 1,2022-2023,10,Lorient,55,15,10,13,52,53
Ligue 1,2022-2023,11,Stade de Reims,51,12,15,11,45,45
Ligue 1,2022-2023,12,Montpellier,50,15,5,18,65,62
Ligue 1,2022-2023,13,Toulouse,48,13,9,16,51,57
Ligue 1,2022-2023,14,Brest,44,11,11,16,44,54
Ligue 1,2022-2023,15,Strasbourg,40,9,13,16,51,59
Ligue 1,2022-2023,16,Nantes,36,7,15,16,37,55
Ligue 1,2022-2023,17,AJ Auxerre,35,8,11,19,35,63
Ligue 1,2022-2023,18,AC Ajaccio,26,7,5,26,23,74
Ligue 1,2022-2023,19,Troyes,24,4,12,22,45,81
Ligue 1,2022-2023,20,Angers,18,4,6,28,33,81
