League,Season,League_Position,Team,Points,W,D,L,GF,GA
Ligue 1,2024-2025,1,Paris Saint-Germain,84,26,6,2,92,35
Ligue 1,2024-2025,2,Marseille,65,20,5,9,74,47
Ligue 1,2024-2025,3,AS Monaco,61,18,7,9,63,41
Ligue 1,2024-2025,4,Nice,60,17,9,8,66,41
Ligue 1,2024-2025,5,Lille,60,17,9,8,52,36
Ligue 1,2024-2025,6,Lyon,57,17,6,11,65,46
Ligue 1,2024-2025,7,Strasbourg,57,16,9,9,56,44
Ligue 1,2024-2025,8,Lens,52,15,7,12,42,39
Ligue 1,2024-2025,9,Brest,50,15,5,14,52,59
Ligue 1,2024-2025,10,Toulouse,42,11,9,14,44,43
Ligue 1,2024-2025,11,AJ Auxerre,42,11,9,14,48,51
Ligue 1,2024-2025,12,Stade Rennais,41,13,2,19,51,50
Ligue 1,2024-2025,13,Nantes,36,8,12,14,39,52
Ligue 1,2024-2025,14,Angers,36,10,6,18,32,53
Ligue 1,2024-2025,15,Le Havre AC,34,10,4,20,40,71
Ligue 1,2024-2025,16,Stade de Reims,33,8,9,17,33,47
Ligue 1,2024-2025,17,Saint-Étienne,30,8,6,20,39,77
Ligue 1,2024-2025,18,Montpellier,16,4,4,26,23,79
