Team,Total_Cap_Allocations
Dallas Mavericks,85147033
Chicago Bulls,90105625
Phoenix Suns,92518634
Indiana Pacers,93661969
Orlando Magic,95538311
Brooklyn Nets,95964560
Sacramento Kings,97154206
Philadelphia 76ers,100020936
Atlanta Hawks,100108457
New York Knicks,104405156
Miami Heat,105065917
Los Angeles Lakers,105120157
Minnesota Timberwolves,105179927
Denver Nuggets,106515203
Utah Jazz,106862254
Memphis Grizzlies,112723222
Boston Celtics,115075693
Milwaukee Bucks,116214360
San Antonio Spurs,117624936
Houston Rockets,118271451
LA Clippers,118817049
Detroit Pistons,118897722
Portland Trail Blazers,119265261
Toronto Raptors,119956468
Charlotte Hornets,120170928
New Orleans Pelicans,120284741
Washington Wizards,124114043
Oklahoma City Thunder,134391728
Golden State Warriors,136843128
Cleveland Cavaliers,140394596
