Team,Total_Cap_Allocations
Dallas Mavericks,87760060
Atlanta Hawks,103572575
Sacramento Kings,104038467
Los Angeles Lakers,105333698
Phoenix Suns,108453793
Indiana Pacers,110579462
Philadelphia 76ers,111962081
Chicago Bulls,112014084
Utah Jazz,114837858
New Orleans Pelicans,116073210
Brooklyn Nets,117571620
Orlando Magic,117760938
LA Clippers,118570700
Denver Nuggets,119128560
Minnesota Timberwolves,121862669
New York Knicks,123265800
Cleveland Cavaliers,123699800
Milwaukee Bucks,123913271
Memphis Grizzlies,124214557
Charlotte Hornets,124672166
Detroit Pistons,124996010
San Antonio Spurs,126132717
Miami Heat,126261568
Washington Wizards,126590911
Boston Celtics,128794955
Houston Rockets,128871987
Portland Trail Blazers,133096018
Oklahoma City Thunder,147471767
Toronto Raptors,149687828
Golden State Warriors,154587831
