Team,Total_Cap_Allocations
Oklahoma City Thunder,90513233
Memphis Grizzlies,115994102
New York Knicks,118396240
Charlotte Hornets,120990744
San Antonio Spurs,126419926
Orlando Magic,126992175
Detroit Pistons,128989131
Portland Trail Blazers,129526823
Houston Rockets,132065764
Sacramento Kings,132576503
Atlanta Hawks,132773339
Cleveland Cavaliers,133138401
Phoenix Suns,133742329
New Orleans Pelicans,134663536
Boston Celtics,135425801
Indiana Pacers,136089712
Chicago Bulls,136118673
Miami Heat,138804919
Denver Nuggets,138963942
Utah Jazz,145969091
Dallas Mavericks,146734486
Toronto Raptors,149439621
Washington Wizards,155635311
Philadelphia 76ers,156429129
Milwaukee Bucks,160663369
Los Angeles Lakers,160861720
Minnesota Timberwolves,165734220
LA Clippers,166162398
Brooklyn Nets,172820410
Golden State Warriors,184024769
