Team,Total_Cap_Allocations
Detroit Pistons,141808220
Orlando Magic,152959238
Utah Jazz,154114022
San Antonio Spurs,162809380
Oklahoma City Thunder,166001694
Charlotte Hornets,167423486
Memphis Grizzlies,167814933
Chicago Bulls,168006873
Philadelphia 76ers,170340647
Indiana Pacers,171232577
Sacramento Kings,171370782
Houston Rockets,173496349
Atlanta Hawks,174418704
LA Clippers,174670238
Portland Trail Blazers,176848446
Cleveland Cavaliers,178212347
Toronto Raptors,178496026
Brooklyn Nets,178836132
Miami Heat,179350729
New Orleans Pelicans,182966321
Dallas Mavericks,187147472
New York Knicks,188877651
Denver Nuggets,192786656
Milwaukee Bucks,195746447
Boston Celtics,197048229
Golden State Warriors,199518342
Los Angeles Lakers,200785985
Washington Wizards,211677970
Phoenix Suns,228464502
Minnesota Timberwolves,236725861
