Team,Total_Cap_Allocations
Brooklyn Nets,150960352
Memphis Grizzlies,157650285
Utah Jazz,173117343
Milwaukee Bucks,182099997
Charlotte Hornets,183806358
San Antonio Spurs,183990669
Chicago Bulls,187673271
Oklahoma City Thunder,188057857
Indiana Pacers,191900207
Detroit Pistons,193082507
Atlanta Hawks,193255583
Orlando Magic,194063614
Boston Celtics,194526296
Toronto Raptors,194966020
Portland Trail Blazers,195706145
Miami Heat,197952062
LA Clippers,199054230
Philadelphia 76ers,199898431
Dallas Mavericks,200372430
Denver Nuggets,200743895
Houston Rockets,201412484
New Orleans Pelicans,207453274
Phoenix Suns,207796989
New York Knicks,209823691
Los Angeles Lakers,211399497
Sacramento Kings,213853369
Cleveland Cavaliers,226181970
Minnesota Timberwolves,228841297
Washington Wizards,232033397
Golden State Warriors,234222725
