Team,Total_Cap_Allocations
Minnesota Timberwolves,71566819
Utah Jazz,80498192
Denver Nuggets,82581936
Brooklyn Nets,83730005
Phoenix Suns,85055253
Philadelphia 76ers,89003631
Houston Rockets,90968493
Oklahoma City Thunder,92320380
Milwaukee Bucks,92676330
Boston Celtics,93035161
Chicago Bulls,93175538
Indiana Pacers,94002004
Los Angeles Lakers,94204120
Atlanta Hawks,95563799
Sacramento Kings,95667032
Golden State Warriors,100241842
New Orleans Pelicans,101417816
Miami Heat,101820405
Charlotte Hornets,102036240
Washington Wizards,102337716
New York Knicks,102613433
Dallas Mavericks,104083711
Orlando Magic,104294550
Detroit Pistons,107901937
San Antonio Spurs,108372141
Memphis Grizzlies,110869863
Toronto Raptors,111777477
Portland Trail Blazers,112845578
LA Clippers,118011825
Cleveland Cavaliers,127570594
