Team,Total_Cap_Allocations
New York Knicks,110055762
Atlanta Hawks,112342555
Chicago Bulls,113208742
Indiana Pacers,114591944
Sacramento Kings,116865503
New Orleans Pelicans,117626046
Boston Celtics,119147447
Phoenix Suns,121137310
Los Angeles Lakers,122723507
Utah Jazz,127212555
Charlotte Hornets,127312849
Brooklyn Nets,128264668
Philadelphia 76ers,130102816
LA Clippers,130154932
Milwaukee Bucks,130229664
Denver Nuggets,131854274
Memphis Grizzlies,132844749
Washington Wizards,134529412
Cleveland Cavaliers,135275863
Detroit Pistons,136015378
San Antonio Spurs,136184793
Dallas Mavericks,136193863
Minnesota Timberwolves,136248239
Portland Trail Blazers,137667430
Golden State Warriors,138003598
Miami Heat,138759297
Oklahoma City Thunder,139719723
Toronto Raptors,142301048
Orlando Magic,146546422
Houston Rockets,151594903
