Team,Total_Cap_Allocations
San Antonio Spurs,101649048
Indiana Pacers,122145349
Detroit Pistons,127673493
Memphis Grizzlies,127756781
Houston Rockets,138296534
Orlando Magic,139801010
Charlotte Hornets,146049640
Utah Jazz,147162541
Atlanta Hawks,149133740
Toronto Raptors,149260166
New York Knicks,150263571
Portland Trail Blazers,151480955
Miami Heat,152766041
Chicago Bulls,153093665
New Orleans Pelicans,154090191
Cleveland Cavaliers,154561446
Sacramento Kings,154815256
Oklahoma City Thunder,155437627
Philadelphia 76ers,164391836
Brooklyn Nets,164774911
Denver Nuggets,169601210
Minnesota Timberwolves,174906722
Phoenix Suns,175806777
Boston Celtics,176795764
Los Angeles Lakers,180067292
Dallas Mavericks,180090371
Milwaukee Bucks,181849255
Washington Wizards,183801576
LA Clippers,193025318
Golden State Warriors,199320856
