League,Season,Financial_Rank,Team,Market_Value_M_EUR
Bundesliga,2021-2022,1,Bayern Munich,790.33
Bundesliga,2021-2022,2,Borussia Dortmund,558.98
Bundesliga,2021-2022,3,RB Leipzig,498.95
Bundesliga,2021-2022,4,Bayer 04 Leverkusen,455.05
Bundesliga,2021-2022,5,VfL Wolfsburg,269.3
Bundesliga,2021-2022,6,Borussia Mönchengladbach,236.8
Bundesliga,2021-2022,7,Eintracht Frankfurt,228.75
Bundesliga,2021-2022,8,TSG 1899 Hoffenheim,211.43
Bundesliga,2021-2022,9,SC Freiburg,176.35
Bundesliga,2021-2022,10,VfB Stuttgart,174.23
Bundesliga,2021-2022,11,Hertha BSC,155.78
Bundesliga,2021-2022,12,1.FSV Mainz 05,131.03
Bundesliga,2021-2022,13,1.FC Union Berlin,115.9
Bundesliga,2021-2022,14,1.FC Köln,99.28
Bundesliga,2021-2022,15,FC Augsburg,95.3
Bundesliga,2021-2022,16,Arminia Bielefeld,65.85
Bundesliga,2021-2022,17,VfL Bochum,52.25
Bundesliga,2021-2022,18,SpVgg Greuther Fürth,36.95
Bundesliga,2022-2023,1,Bayern Munich,948.95
Bundesliga,2022-2023,2,Borussia Dortmund,567.55
Bundesliga,2022-2023,3,RB Leipzig,486.4
Bundesliga,2022-2023,4,Bayer 04 Leverkusen,452.5
Bundesliga,2022-2023,5,Eintracht Frankfurt,324.55
Bundesliga,2022-2023,6,Borussia Mönchengladbach,241.68
Bundesliga,2022-2023,7,VfL Wolfsburg,238.3
Bundesliga,2022-2023,8,SC Freiburg,200.95
Bundesliga,2022-2023,9,TSG 1899 Hoffenheim,178.8
Bundesliga,2022-2023,10,1.FC Union Berlin,157.95
Bundesliga,2022-2023,11,VfB Stuttgart,151.05
Bundesliga,2022-2023,12,1.FSV Mainz 05,135.9
Bundesliga,2022-2023,13,FC Augsburg,132.23
Bundesliga,2022-2023,14,1.FC Köln,115.65
Bundesliga,2022-2023,15,Hertha BSC,94
Bundesliga,2022-2023,16,SV Werder Bremen,89.5
Bundesliga,2022-2023,17,FC Schalke 04,87.78
Bundesliga,2022-2023,18,VfL Bochum,53.7
Bundesliga,2023-2024,1,Bayern Munich,965.15
Bundesliga,2023-2024,2,Bayer 04 Leverkusen,658.35
Bundesliga,2023-2024,3,RB Leipzig,545.4
Bundesliga,2023-2024,4,Borussia Dortmund,494.8
Bundesliga,2023-2024,5,VfB Stuttgart,346.63
Bundesliga,2023-2024,6,Eintracht Frankfurt,326.65
Bundesliga,2023-2024,7,VfL Wolfsburg,206.45
Bundesliga,2023-2024,8,SC Freiburg,180.35
Bundesliga,2023-2024,9,TSG 1899 Hoffenheim,176
Bundesliga,2023-2024,10,Borussia Mönchengladbach,165.23
Bundesliga,2023-2024,11,1.FC Union Berlin,160.95
Bundesliga,2023-2024,12,1.FSV Mainz 05,142.88
Bundesliga,2023-2024,13,FC Augsburg,140.8
Bundesliga,2023-2024,14,SV Werder Bremen,134.93
Bundesliga,2023-2024,15,1.FC Köln,81.45
Bundesliga,2023-2024,16,1.FC Heidenheim 1846,66.45
Bundesliga,2023-2024,17,VfL Bochum,64.53
Bundesliga,2023-2024,18,SV Darmstadt 98,38.7
Bundesliga,2024-2025,1,Bayern Munich,953.55
Bundesliga,2024-2025,2,Bayer 04 Leverkusen,623.35
Bundesliga,2024-2025,3,RB Leipzig,513.7
