League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2024-2025,1,Napoli,82,24,10,4,59,27
Serie A,2024-2025,2,Internazionale,81,24,9,5,79,35
Serie A,2024-2025,3,Atalanta,74,22,8,8,78,37
Serie A,2024-2025,4,Juventus,70,18,16,4,58,35
Serie A,2024-2025,5,AS Roma,69,20,9,9,56,35
Serie A,2024-2025,6,Fiorentina,65,19,8,11,60,41
Serie A,2024-2025,7,Lazio,65,18,11,9,61,49
Serie A,2024-2025,8,AC Milan,63,18,9,11,61,43
Serie A,2024-2025,9,Bologna,62,16,14,8,57,47
Serie A,2024-2025,10,Como,49,13,10,15,49,52
Serie A,2024-2025,11,Torino,44,10,14,14,39,45
Serie A,2024-2025,12,Udinese,44,12,8,18,41,56
Serie A,2024-2025,13,Genoa,43,10,13,15,37,49
Serie A,2024-2025,14,Hellas Verona,37,10,7,21,34,66
Serie A,2024-2025,15,Cagliari,36,9,9,20,40,56
Serie A,2024-2025,16,Parma,36,7,15,16,44,58
Serie A,2024-2025,17,Lecce,34,8,10,20,27,58
Serie A,2024-2025,18,Empoli,31,6,13,19,33,59
Serie A,2024-2025,19,Venezia,29,5,14,19,32,56
Serie A,2024-2025,20,Monza,18,3,9,26,28,69
