League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2022-2023,1,Napoli,90,28,6,4,77,28
Serie A,2022-2023,2,Lazio,74,22,8,8,60,30
Serie A,2022-2023,3,Internazionale,72,23,3,12,71,42
Serie A,2022-2023,4,AC Milan,70,20,10,8,64,43
Serie A,2022-2023,5,Atalanta,64,19,7,12,66,48
Serie A,2022-2023,6,AS Roma,63,18,9,11,50,38
Serie A,2022-2023,7,Juventus,62,22,6,10,56,33
Serie A,2022-2023,8,Fiorentina,56,15,11,12,53,43
Serie A,2022-2023,9,Bologna,54,14,12,12,53,49
Serie A,2022-2023,10,Torino,53,14,11,13,42,41
Serie A,2022-2023,11,Monza,52,14,10,14,48,52
Serie A,2022-2023,12,Udinese,46,11,13,14,47,48
Serie A,2022-2023,13,Sassuolo,45,12,9,17,47,61
Serie A,2022-2023,14,Empoli,43,10,13,15,37,49
Serie A,2022-2023,15,Salernitana,42,9,15,14,48,62
Serie A,2022-2023,16,Lecce,36,8,12,18,33,46
Serie A,2022-2023,17,Spezia,31,6,13,19,31,62
Serie A,2022-2023,18,Hellas Verona,31,7,10,21,31,59
Serie A,2022-2023,19,Cremonese,27,5,12,21,36,69
Serie A,2022-2023,20,Sampdoria,19,3,10,25,24,71
