League,Season,League_Position,Team,Points,W,D,L,GF,GA
Premier League,2023-2024,1,Manchester City,91,28,7,3,96,34
Premier League,2023-2024,2,Arsenal,89,28,5,5,91,29
Premier League,2023-2024,3,Liverpool,82,24,10,4,86,41
Premier League,2023-2024,4,Aston Villa,68,20,8,10,76,61
Premier League,2023-2024,5,Tottenham Hotspur,66,20,6,12,74,61
Premier League,2023-2024,6,Chelsea,63,18,9,11,77,63
Premier League,2023-2024,7,Newcastle United,60,18,6,14,85,62
Premier League,2023-2024,8,Manchester United,60,18,6,14,57,58
Premier League,2023-2024,9,West Ham United,52,14,10,14,60,74
Premier League,2023-2024,10,Crystal Palace,49,13,10,15,57,58
Premier League,2023-2024,11,Brighton & Hove Albion,48,12,12,14,55,62
Premier League,2023-2024,12,AFC Bournemouth,48,13,9,16,54,67
Premier League,2023-2024,13,Fulham,47,13,8,17,55,61
Premier League,2023-2024,14,Wolverhampton Wanderers,46,13,7,18,50,65
Premier League,2023-2024,15,Everton,40,13,9,16,40,51
Premier League,2023-2024,16,Brentford,39,10,9,19,56,65
Premier League,2023-2024,17,Nottingham Forest,32,9,9,20,49,67
Premier League,2023-2024,18,Luton Town,26,6,8,24,52,85
Premier League,2023-2024,19,Burnley,24,5,9,24,41,78
Premier League,2023-2024,20,Sheffield United,16,3,7,28,35,104
