League,Season,League_Position,Team,Points,W,D,L,GF,GA
Premier League,2024-2025,1,Liverpool,84,25,9,4,86,41
Premier League,2024-2025,2,Arsenal,74,20,14,4,69,34
Premier League,2024-2025,3,Manchester City,71,21,8,9,72,44
Premier League,2024-2025,4,Chelsea,69,20,9,9,64,43
Premier League,2024-2025,5,Newcastle United,66,20,6,12,68,47
Premier League,2024-2025,6,Aston Villa,66,19,9,10,58,51
Premier League,2024-2025,7,Nottingham Forest,65,19,8,11,58,46
Premier League,2024-2025,8,Brighton & Hove Albion,61,16,13,9,66,59
Premier League,2024-2025,9,AFC Bournemouth,56,15,11,12,58,46
Premier League,2024-2025,10,Brentford,56,16,8,14,66,57
Premier League,2024-2025,11,Fulham,54,15,9,14,54,54
Premier League,2024-2025,12,Crystal Palace,53,13,14,11,51,51
Premier League,2024-2025,13,Everton,48,11,15,12,42,44
Premier League,2024-2025,14,West Ham United,43,11,10,17,46,62
Premier League,2024-2025,15,Manchester United,42,11,9,18,44,54
Premier League,2024-2025,16,Wolverhampton Wanderers,42,12,6,20,54,69
Premier League,2024-2025,17,Tottenham Hotspur,38,11,5,22,64,65
Premier League,2024-2025,18,Leicester City,25,6,7,25,33,80
Premier League,2024-2025,19,Ipswich Town,22,4,10,24,36,82
Premier League,2024-2025,20,Southampton,12,2,6,30,26,86
