Team,Wins,Losses,WinPercent
Orlando Magic,42,40,0.5121951
Toronto Raptors,58,24,0.70731705
Detroit Pistons,41,41,0.5
Brooklyn Nets,42,40,0.5121951
Indiana Pacers,48,34,0.58536583
Boston Celtics,49,33,0.597561
Philadelphia 76ers,51,31,0.6219512
New York Knicks,17,65,0.20731707
Cleveland Cavaliers,19,63,0.23170732
Chicago Bulls,22,60,0.2682927
Atlanta Hawks,29,53,0.35365853
Washington Wizards,32,50,0.3902439
Charlotte Hornets,39,43,0.47560975
Miami Heat,39,43,0.47560975
Milwaukee Bucks,60,22,0.73170733
Golden State Warriors,57,25,0.69512194
Houston Rockets,53,29,0.64634144
Denver Nuggets,54,28,0.6585366
San Antonio Spurs,48,34,0.58536583
LA Clippers,48,34,0.58536583
Oklahoma City Thunder,49,33,0.597561
Utah Jazz,50,32,0.6097561
Portland Trail Blazers,53,29,0.64634144
Phoenix Suns,19,63,0.23170732
Memphis Grizzlies,33,49,0.40243903
New Orleans Pelicans,33,49,0.40243903
Dallas Mavericks,33,49,0.40243903
Minnesota Timberwolves,36,46,0.4390244
Los Angeles Lakers,37,45,0.4512195
Sacramento Kings,39,43,0.47560975
