Team,Wins,Losses,WinPercent
Cleveland Cavaliers,64,18,0.7804878
Boston Celtics,61,21,0.74390244
Miami Heat,37,45,0.4512195
Orlando Magic,41,41,0.5
Detroit Pistons,44,38,0.5365854
Milwaukee Bucks,48,34,0.58536583
Indiana Pacers,50,32,0.6097561
New York Knicks,51,31,0.6219512
Chicago Bulls,39,43,0.47560975
Atlanta Hawks,40,42,0.4878049
Washington Wizards,18,64,0.2195122
Charlotte Hornets,19,63,0.23170732
Philadelphia 76ers,24,58,0.29268292
Brooklyn Nets,26,56,0.31707317
Toronto Raptors,30,52,0.36585367
Oklahoma City Thunder,68,14,0.8292683
Los Angeles Lakers,50,32,0.6097561
Houston Rockets,52,30,0.63414633
Golden State Warriors,48,34,0.58536583
Memphis Grizzlies,48,34,0.58536583
Minnesota Timberwolves,49,33,0.597561
Denver Nuggets,50,32,0.6097561
LA Clippers,50,32,0.6097561
Dallas Mavericks,39,43,0.47560975
Sacramento Kings,40,42,0.4878049
Utah Jazz,17,65,0.20731707
New Orleans Pelicans,21,61,0.25609756
San Antonio Spurs,34,48,0.41463414
Phoenix Suns,36,46,0.4390244
Portland Trail Blazers,36,46,0.4390244
