Team,Wins,Losses,WinPercent
Toronto Raptors,59,23,0.7195122
Miami Heat,44,38,0.5365854
Cleveland Cavaliers,50,32,0.6097561
Washington Wizards,43,39,0.5243902
Milwaukee Bucks,44,38,0.5365854
Indiana Pacers,48,34,0.58536583
Philadelphia 76ers,52,30,0.63414633
Boston Celtics,55,27,0.6707317
Atlanta Hawks,24,58,0.29268292
Orlando Magic,25,57,0.30487806
Chicago Bulls,27,55,0.3292683
Brooklyn Nets,28,54,0.34146342
New York Knicks,29,53,0.35365853
Charlotte Hornets,36,46,0.4390244
Detroit Pistons,39,43,0.47560975
Portland Trail Blazers,49,33,0.597561
Golden State Warriors,58,24,0.70731705
San Antonio Spurs,47,35,0.5731707
Minnesota Timberwolves,47,35,0.5731707
Oklahoma City Thunder,48,34,0.58536583
Utah Jazz,48,34,0.58536583
New Orleans Pelicans,48,34,0.58536583
Phoenix Suns,21,61,0.25609756
Memphis Grizzlies,22,60,0.2682927
Dallas Mavericks,24,58,0.29268292
Sacramento Kings,27,55,0.3292683
Los Angeles Lakers,35,47,0.42682928
LA Clippers,42,40,0.5121951
Denver Nuggets,46,36,0.5609756
Houston Rockets,65,17,0.79268295
