Team,Wins,Losses,WinPercent
Miami Heat,53,29,0.64634144
Boston Celtics,51,31,0.6219512
Milwaukee Bucks,51,31,0.6219512
Atlanta Hawks,43,39,0.5243902
Brooklyn Nets,44,38,0.5365854
Chicago Bulls,46,36,0.5609756
Toronto Raptors,48,34,0.58536583
Philadelphia 76ers,51,31,0.6219512
Charlotte Hornets,43,39,0.5243902
Cleveland Cavaliers,44,38,0.5365854
Orlando Magic,22,60,0.2682927
Detroit Pistons,23,59,0.2804878
Indiana Pacers,25,57,0.30487806
Washington Wizards,35,47,0.42682928
New York Knicks,37,45,0.4512195
Utah Jazz,49,33,0.597561
Memphis Grizzlies,56,26,0.68292683
New Orleans Pelicans,36,46,0.4390244
Minnesota Timberwolves,46,36,0.5609756
Denver Nuggets,48,34,0.58536583
Dallas Mavericks,52,30,0.63414633
Golden State Warriors,53,29,0.64634144
San Antonio Spurs,34,48,0.41463414
LA Clippers,42,40,0.5121951
Houston Rockets,20,62,0.24390244
Oklahoma City Thunder,24,58,0.29268292
Portland Trail Blazers,27,55,0.3292683
Sacramento Kings,30,52,0.36585367
Los Angeles Lakers,33,49,0.40243903
Phoenix Suns,64,18,0.7804878
