Team,Wins,Losses,WinPercent
Cleveland Cavaliers,57,25,0.69512194
Miami Heat,48,34,0.58536583
Toronto Raptors,56,26,0.68292683
Detroit Pistons,44,38,0.5365854
Indiana Pacers,45,37,0.5487805
Atlanta Hawks,48,34,0.58536583
Boston Celtics,48,34,0.58536583
Charlotte Hornets,48,34,0.58536583
Philadelphia 76ers,10,72,0.12195122
Brooklyn Nets,21,61,0.25609756
New York Knicks,32,50,0.3902439
Milwaukee Bucks,33,49,0.40243903
Orlando Magic,35,47,0.42682928
Washington Wizards,41,41,0.5
Chicago Bulls,42,40,0.5121951
Golden State Warriors,73,9,0.8902439
Oklahoma City Thunder,55,27,0.6707317
San Antonio Spurs,67,15,0.81707317
Houston Rockets,41,41,0.5
Dallas Mavericks,42,40,0.5121951
Memphis Grizzlies,42,40,0.5121951
Portland Trail Blazers,44,38,0.5365854
LA Clippers,53,29,0.64634144
Los Angeles Lakers,17,65,0.20731707
Phoenix Suns,23,59,0.2804878
Minnesota Timberwolves,29,53,0.35365853
New Orleans Pelicans,30,52,0.36585367
Sacramento Kings,33,49,0.40243903
Denver Nuggets,33,49,0.40243903
Utah Jazz,40,42,0.4878049
