Team,Wins,Losses,WinPercent
Miami Heat,44,38,0.5365854
Boston Celtics,57,25,0.69512194
Atlanta Hawks,41,41,0.5
Brooklyn Nets,45,37,0.5487805
New York Knicks,47,35,0.5731707
Cleveland Cavaliers,51,31,0.6219512
Philadelphia 76ers,54,28,0.6585366
Chicago Bulls,40,42,0.4878049
Toronto Raptors,41,41,0.5
Detroit Pistons,17,65,0.20731707
Charlotte Hornets,27,55,0.3292683
Orlando Magic,34,48,0.41463414
Indiana Pacers,35,47,0.42682928
Washington Wizards,35,47,0.42682928
Milwaukee Bucks,58,24,0.70731705
Denver Nuggets,53,29,0.64634144
Sacramento Kings,48,34,0.58536583
Memphis Grizzlies,51,31,0.6219512
Minnesota Timberwolves,42,40,0.5121951
Los Angeles Lakers,43,39,0.5243902
LA Clippers,44,38,0.5365854
Golden State Warriors,44,38,0.5365854
Phoenix Suns,45,37,0.5487805
Oklahoma City Thunder,40,42,0.4878049
New Orleans Pelicans,42,40,0.5121951
Houston Rockets,22,60,0.2682927
San Antonio Spurs,22,60,0.2682927
Portland Trail Blazers,33,49,0.40243903
Utah Jazz,37,45,0.4512195
Dallas Mavericks,38,44,0.46341464
