Team,Wins,Losses,WinPercent
Philadelphia 76ers,49,23,0.6805556
Atlanta Hawks,41,31,0.5694444
Milwaukee Bucks,46,26,0.6388889
Washington Wizards,34,38,0.4722222
Boston Celtics,36,36,0.5
Miami Heat,40,32,0.5555556
New York Knicks,41,31,0.5694444
Brooklyn Nets,48,24,0.6666667
Charlotte Hornets,33,39,0.45833334
Indiana Pacers,34,38,0.4722222
Detroit Pistons,20,52,0.2777778
Orlando Magic,21,51,0.29166666
Cleveland Cavaliers,22,50,0.30555555
Toronto Raptors,27,45,0.375
Chicago Bulls,31,41,0.43055555
Dallas Mavericks,42,30,0.5833333
Phoenix Suns,51,21,0.7083333
Memphis Grizzlies,38,34,0.5277778
Los Angeles Lakers,42,30,0.5833333
Portland Trail Blazers,42,30,0.5833333
Denver Nuggets,47,25,0.6527778
LA Clippers,47,25,0.6527778
San Antonio Spurs,33,39,0.45833334
Golden State Warriors,39,33,0.5416667
Houston Rockets,17,55,0.2361111
Oklahoma City Thunder,22,50,0.30555555
Minnesota Timberwolves,23,49,0.31944445
New Orleans Pelicans,31,41,0.43055555
Sacramento Kings,31,41,0.43055555
Utah Jazz,52,20,0.7222222
