Team,Wins,Losses,WinPercent
Milwaukee Bucks,56,17,0.7671233
Miami Heat,44,29,0.60273975
Toronto Raptors,53,19,0.7361111
Orlando Magic,33,40,0.4520548
Brooklyn Nets,35,37,0.4861111
Philadelphia 76ers,43,30,0.5890411
Indiana Pacers,45,28,0.6164383
Boston Celtics,48,24,0.6666667
Atlanta Hawks,20,47,0.29850745
Cleveland Cavaliers,19,46,0.2923077
Detroit Pistons,20,46,0.3030303
New York Knicks,21,45,0.3181818
Washington Wizards,25,47,0.3472222
Chicago Bulls,22,43,0.33846155
Charlotte Hornets,23,42,0.35384616
Los Angeles Lakers,52,19,0.73239434
Houston Rockets,44,28,0.6111111
Denver Nuggets,46,27,0.63013697
Portland Trail Blazers,35,39,0.47297296
Dallas Mavericks,43,32,0.5733333
Oklahoma City Thunder,44,28,0.6111111
Utah Jazz,44,28,0.6111111
LA Clippers,49,23,0.6805556
Memphis Grizzlies,34,39,0.46575344
Golden State Warriors,15,50,0.23076923
Minnesota Timberwolves,19,45,0.296875
New Orleans Pelicans,30,42,0.41666666
Sacramento Kings,31,41,0.43055555
San Antonio Spurs,32,39,0.45070422
Phoenix Suns,34,39,0.46575344
